"HOLDING","SO_EURO","UAA","res","x","y"
NA,NA,NA,1000,4715,1450
60,3e+05,70,1000,4717,1444
110,3e+05,100,1000,4718,1444
20,3e+05,30,1000,4719,1444
NA,NA,NA,1000,4717,1443
60,260000,50,1000,4718,1443
NA,NA,NA,1000,4719,1443
NA,NA,NA,1000,4716,1442
50,5e+05,70,1000,4717,1442
NA,NA,NA,1000,4718,1442
20,240000,30,1000,4719,1442
NA,NA,NA,1000,4716,1441
NA,NA,NA,1000,4717,1441
10,1e+05,20,1000,4718,1441
NA,NA,NA,1000,4719,1441
NA,NA,NA,1000,4717,1440
170,4e+06,300,1000,4718,1440
130,3e+06,260,1000,4719,1440
40,140000,90,5000,4700,1455
140,6e+05,190,5000,4705,1455
200,1500000,400,5000,4700,1450
900,1.5e+07,1200,5000,4705,1450
400,2500000,400,5000,4710,1450
40,5e+05,50,5000,4715,1445
270,4e+06,500,5000,4720,1440
200,2400000,240,5000,4725,1440
20,21000,20,5000,4730,1440
220,2700000,400,5000,4715,1435
800,7e+06,1200,5000,4720,1435
900,1.1e+07,1000,5000,4725,1435
400,3e+06,300,5000,4730,1435
100,6e+05,110,5000,4735,1435
50,4e+05,60,5000,4715,1430
240,4e+06,280,5000,4720,1430
1200,1e+07,1300,5000,4725,1430
800,1e+07,800,5000,4730,1430
100,1100000,140,5000,4735,1430
NA,NA,NA,5000,4725,1425
30,120000,30,5000,4730,1425
NA,NA,NA,1000,6473,1686
NA,NA,NA,1000,6451,1675
NA,NA,NA,1000,6441,1670
NA,NA,NA,1000,6396,1650
NA,NA,NA,1000,6394,1645
20,210000,50,1000,6465,1639
30,7e+05,70,1000,6367,1638
NA,NA,NA,1000,6460,1634
30,190000,130,1000,6372,1632
NA,NA,NA,1000,6346,1631
NA,NA,NA,1000,6388,1631
NA,NA,NA,1000,6404,1631
NA,NA,NA,1000,6386,1629
50,260000,100,1000,6379,1627
NA,NA,NA,1000,6365,1614
NA,NA,NA,1000,6366,1614
NA,NA,NA,1000,6367,1614
10,24000,10,1000,6368,1614
20,220000,80,1000,6369,1614
NA,NA,NA,1000,6365,1613
NA,NA,NA,1000,6366,1613
NA,NA,NA,1000,6367,1613
30,60000,30,1000,6368,1613
NA,NA,NA,1000,6369,1613
50,4e+05,210,1000,6365,1612
10,25000,10,1000,6366,1612
NA,NA,NA,1000,6367,1612
NA,NA,NA,1000,6368,1612
50,3e+05,160,1000,6369,1612
10,40000,20,1000,6365,1611
NA,NA,NA,1000,6366,1611
10,30000,20,1000,6367,1611
NA,NA,NA,1000,6368,1611
10,19000,10,1000,6369,1611
NA,NA,NA,1000,6365,1610
NA,NA,NA,1000,6366,1610
70,5e+05,160,1000,6367,1610
60,130000,70,1000,6368,1610
NA,NA,NA,1000,6369,1610
60,2700000,800,5000,6480,1675
NA,NA,NA,5000,6485,1675
150,7e+06,600,5000,6490,1675
10,3e+05,20,5000,6495,1675
NA,NA,NA,5000,6475,1670
110,1900000,600,5000,6480,1670
280,6e+06,1100,5000,6485,1670
500,2.3e+07,2200,5000,6490,1670
100,2300000,280,5000,6495,1670
140,9e+06,1000,5000,6440,1665
NA,NA,NA,5000,6445,1665
20,1100000,50,5000,6470,1665
180,1.7e+07,1800,5000,6475,1665
300,1.1e+07,1800,5000,6480,1665
270,9e+06,1100,5000,6485,1665
60,2700000,130,5000,6490,1665
60,9e+05,90,5000,6495,1665
50,3e+05,70,5000,6405,1660
140,1e+07,900,5000,6440,1660
30,2700000,300,5000,6445,1660
150,2.3e+07,2700,5000,6450,1660
170,2.5e+07,2600,5000,6455,1660
190,1.3e+07,2000,5000,6470,1660
240,1.9e+07,1000,5000,6475,1660
300,9e+06,1500,5000,6480,1660
