"ARA","UAA","res","x","y"
50,50,1000,4705,1454
NA,NA,1000,4707,1454
30,50,1000,4708,1454
40,50,1000,4709,1454
20,30,1000,4705,1453
110,130,1000,4706,1453
60,70,1000,4707,1453
50,70,1000,4708,1453
30,50,1000,4709,1453
130,160,1000,4705,1452
100,120,1000,4706,1452
50,50,1000,4707,1452
30,30,1000,4708,1452
10,20,1000,4709,1452
30,40,1000,4705,1451
90,100,1000,4706,1451
60,70,1000,4707,1451
50,60,1000,4708,1451
10,10,1000,4709,1451
10,20,1000,4706,1450
0,10,1000,4707,1450
NA,NA,1000,4715,1450
60,70,1000,4717,1444
70,100,1000,4718,1444
20,30,1000,4719,1444
NA,NA,1000,4717,1443
30,50,1000,4718,1443
NA,NA,1000,4719,1443
NA,NA,1000,4716,1442
60,70,1000,4717,1442
NA,NA,1000,4718,1442
30,30,1000,4719,1442
NA,NA,1000,4716,1441
NA,NA,1000,4717,1441
20,20,1000,4718,1441
NA,NA,1000,4719,1441
NA,NA,1000,4717,1440
260,300,1000,4718,1440
210,260,1000,4719,1440
100,110,1000,4725,1439
10,10,1000,4726,1439
NA,NA,1000,4727,1439
20,30,1000,4728,1439
50,50,1000,4729,1439
30,40,1000,4725,1438
20,30,1000,4726,1438
30,40,1000,4727,1438
10,20,1000,4728,1438
10,10,1000,4729,1438
20,30,1000,4725,1437
NA,NA,1000,4726,1437
20,20,1000,4727,1437
10,10,1000,4728,1437
NA,NA,1000,4729,1437
NA,NA,1000,4725,1436
NA,NA,1000,4726,1436
30,30,1000,4727,1436
60,70,1000,4728,1436
20,20,1000,4729,1436
190,240,1000,4725,1435
70,80,1000,4726,1435
30,40,1000,4727,1435
20,30,1000,4728,1435
30,40,1000,4729,1435
50,70,1000,4725,1434
40,50,1000,4726,1434
NA,NA,1000,4728,1434
10,10,1000,4729,1434
300,400,1000,4725,1433
30,40,1000,4726,1433
NA,NA,1000,4727,1433
NA,NA,1000,4729,1433
50,70,1000,4725,1432
NA,NA,1000,4726,1432
NA,NA,1000,4727,1432
90,110,1000,4728,1432
30,40,1000,4729,1432
NA,NA,1000,4726,1431
90,110,1000,4727,1431
20,30,1000,4728,1431
100,120,1000,4729,1431
20,30,1000,4727,1430
70,80,1000,4728,1430
60,90,1000,4729,1430
90,90,5000,4700,1455
150,190,5000,4705,1455
400,400,5000,4700,1450
280,400,5000,4710,1450
30,50,5000,4715,1445
400,500,5000,4720,1440
200,240,5000,4725,1440
20,20,5000,4730,1440
300,400,5000,4715,1435
900,1200,5000,4720,1435
280,300,5000,4730,1435
90,110,5000,4735,1435
40,60,5000,4715,1430
190,280,5000,4720,1430
700,800,5000,4730,1430
120,140,5000,4735,1430
NA,NA,5000,4725,1425
30,30,5000,4730,1425
NA,NA,1000,6473,1686
NA,NA,1000,6451,1675
NA,NA,1000,6441,1670
NA,NA,1000,6415,1659
500,500,1000,6416,1659
220,230,1000,6417,1659
NA,NA,1000,6419,1659
NA,NA,1000,6415,1658
100,100,1000,6417,1658
400,400,1000,6418,1658
70,80,1000,6419,1658
NA,NA,1000,6417,1657
500,500,1000,6418,1657
220,240,1000,6419,1657
NA,NA,1000,6415,1656
NA,NA,1000,6416,1656
NA,NA,1000,6418,1656
70,80,1000,6419,1656
NA,NA,1000,6415,1655
NA,NA,1000,6416,1655
NA,NA,1000,6418,1655
NA,NA,1000,6396,1650
NA,NA,1000,6394,1645
40,50,1000,6465,1639
40,70,1000,6367,1638
220,250,1000,6455,1634
NA,NA,1000,6456,1634
500,500,1000,6457,1634
400,400,1000,6458,1634
NA,NA,1000,6459,1634
NA,NA,1000,6460,1634
NA,NA,1000,6455,1633
NA,NA,1000,6456,1633
NA,NA,1000,6457,1633
NA,NA,1000,6458,1633
90,130,1000,6372,1632
NA,NA,1000,6455,1632
NA,NA,1000,6456,1632
NA,NA,1000,6457,1632
NA,NA,1000,6458,1632
NA,NA,1000,6346,1631
NA,NA,1000,6388,1631
NA,NA,1000,6404,1631
NA,NA,1000,6455,1631
NA,NA,1000,6456,1631
NA,NA,1000,6457,1631
NA,NA,1000,6455,1630
700,800,5000,6480,1675
70,70,5000,6485,1675
600,600,5000,6490,1675
NA,NA,5000,6495,1675
NA,NA,5000,6475,1670
500,600,5000,6480,1670
1000,1100,5000,6485,1670
2100,2200,5000,6490,1670
240,280,5000,6495,1670
90,110,5000,6415,1665
900,1000,5000,6440,1665
NA,NA,5000,6445,1665
NA,NA,5000,6465,1665
40,50,5000,6470,1665
1800,1800,5000,6475,1665
1700,1800,5000,6480,1665
1000,1100,5000,6485,1665
110,130,5000,6490,1665
60,90,5000,6495,1665
40,70,5000,6405,1660
160,300,5000,6410,1660
1300,1400,5000,6415,1660
800,900,5000,6440,1660
300,300,5000,6445,1660
2600,2700,5000,6450,1660
2400,2600,5000,6455,1660
1600,1800,5000,6460,1660
1300,1300,5000,6465,1660
1900,2000,5000,6470,1660
900,1000,5000,6475,1660
1400,1500,5000,6480,1660
300,400,5000,6485,1660
NA,NA,5000,6400,1655
1200,1300,5000,6405,1655
2000,2300,5000,6410,1655
1200,1200,5000,6420,1655
500,600,5000,6425,1655
900,1000,5000,6430,1655
1200,1300,5000,6435,1655
500,600,5000,6440,1655
1500,1500,5000,6445,1655
400,400,5000,6460,1655
700,800,5000,6465,1655
NA,NA,5000,6470,1655
1100,1100,5000,6400,1650
1200,1300,5000,6405,1650
280,300,5000,6410,1650
300,400,5000,6415,1650
700,800,5000,6420,1650
1100,1200,5000,6425,1650
1000,1300,5000,6430,1650
1000,1100,5000,6435,1650
1400,1600,5000,6440,1650
900,1100,5000,6445,1650
2700,2800,5000,6460,1650
400,500,5000,6465,1650
NA,NA,5000,6360,1645
20,60,5000,6365,1645
400,600,5000,6395,1645
120,180,5000,6400,1645
500,600,5000,6405,1645
230,500,5000,6410,1645
10,70,5000,6415,1645
600,800,5000,6420,1645
20,80,5000,6425,1645
70,220,5000,6430,1645
600,900,5000,6435,1645
260,400,5000,6440,1645
600,700,5000,6445,1645
700,700,5000,6460,1645
NA,NA,5000,6465,1645
50,120,5000,6360,1640
10,30,5000,6365,1640
NA,NA,5000,6380,1640
NA,NA,5000,6390,1640
90,240,5000,6395,1640
20,50,5000,6400,1640
NA,NA,5000,6405,1640
NA,NA,5000,6410,1640
10,80,5000,6415,1640
10,110,5000,6420,1640
NA,NA,5000,6425,1640
NA,NA,5000,6430,1640
70,400,5000,6435,1640
120,170,5000,6440,1640
240,400,5000,6445,1640
2700,2900,5000,6460,1640
200,220,5000,6465,1640
240,400,5000,6360,1635
10,60,5000,6380,1635
0,30,5000,6385,1635
0,50,5000,6400,1635
10,140,5000,6405,1635
10,160,5000,6410,1635
10,180,5000,6415,1635
30,220,5000,6420,1635
10,60,5000,6425,1635
10,90,5000,6430,1635
200,280,5000,6435,1635
300,500,5000,6440,1635
190,210,5000,6445,1635
1200,1500,5000,6450,1635
1400,1500,5000,6455,1635
300,400,5000,6460,1635
400,500,5000,6360,1630
NA,NA,5000,6365,1630
30,400,5000,6405,1630
40,300,5000,6410,1630
10,110,5000,6415,1630
10,60,5000,6420,1630
130,300,5000,6425,1630
50,190,5000,6430,1630
110,270,5000,6435,1630
160,200,5000,6440,1630
1900,2200,5000,6445,1630
500,600,5000,6450,1630
100,120,5000,6345,1625
300,500,5000,6350,1625
700,900,5000,6355,1625
500,800,5000,6360,1625
400,500,5000,6365,1625
0,20,5000,6400,1625
10,70,5000,6405,1625
10,130,5000,6410,1625
40,300,5000,6415,1625
30,130,5000,6430,1625
30,130,5000,6435,1625
500,700,5000,6440,1625
600,800,5000,6445,1625
60,100,5000,6450,1625
110,160,5000,6350,1620
1400,1700,5000,6355,1620
300,500,5000,6360,1620
800,1100,5000,6365,1620
20,300,5000,6400,1620
40,400,5000,6405,1620
40,300,5000,6410,1620
30,130,5000,6415,1620
200,300,5000,6430,1620
280,400,5000,6435,1620
400,400,5000,6440,1620
190,280,5000,6445,1620
160,500,5000,6360,1615
700,1300,5000,6365,1615
400,700,5000,6370,1615
180,500,5000,6375,1615
90,300,5000,6380,1615
60,230,5000,6385,1615
50,300,5000,6390,1615
90,400,5000,6395,1615
60,160,5000,6400,1615
50,220,5000,6405,1615
160,500,5000,6410,1615
220,500,5000,6415,1615
300,500,5000,6430,1615
20,70,5000,6435,1615
NA,NA,5000,6440,1615
290,500,5000,6360,1610
400,900,5000,6365,1610
300,800,5000,6370,1610
500,900,5000,6375,1610
120,300,5000,6380,1610
110,250,5000,6385,1610
200,400,5000,6390,1610
500,900,5000,6395,1610
230,400,5000,6400,1610
90,170,5000,6405,1610
90,120,5000,6410,1610
110,190,5000,6415,1610
220,600,5000,6360,1605
230,500,5000,6365,1605
120,300,5000,6370,1605
300,500,5000,6375,1605
400,700,5000,6380,1605
100,260,5000,6385,1605
400,600,5000,6390,1605
600,700,5000,6395,1605
140,240,5000,6400,1605
120,190,5000,6405,1605
300,500,5000,6410,1605
400,800,5000,6415,1605
NA,NA,5000,6420,1605
30,60,5000,6360,1600
400,600,5000,6365,1600
800,1000,5000,6370,1600
600,800,5000,6375,1600
180,270,5000,6380,1600
240,500,5000,6385,1600
140,190,5000,6390,1600
700,1000,5000,6395,1600
200,400,5000,6400,1600
160,230,5000,6405,1600
400,700,5000,6410,1600
60,500,5000,6415,1600
20,20,5000,6365,1595
150,290,5000,6370,1595
900,1100,5000,6375,1595
400,600,5000,6390,1595
60,80,5000,6395,1595
NA,NA,5000,6415,1595
40,120,10000,6370,1650
1600,1800,10000,6450,1650
NA,NA,10000,6370,1640
3000,4000,10000,6450,1640
160,300,10000,6350,1630
10,180,10000,6390,1630
800,1800,10000,6370,1620
40,230,10000,6380,1620
40,700,10000,6390,1620
100,500,10000,6420,1620
280,500,10000,6420,1610
180,290,10000,6380,1590
6000,7000,20000,6420,1660
NA,NA,20000,6500,1660
600,1100,20000,6340,1600
NA,NA,1000,3189,3710
NA,NA,1000,3250,3700
NA,NA,1000,3235,3593
NA,NA,1000,3212,3590
NA,NA,1000,3242,3580
NA,NA,1000,3245,3576
NA,NA,1000,3245,3574
