"PECR","UAA","res","x","y"
NA,NA,1000,4715,1450
0,90,5000,4700,1455
10,190,5000,4705,1455
10,400,5000,4700,1450
80,1200,5000,4705,1450
70,400,5000,4710,1450
10,50,5000,4715,1445
140,1000,5000,4715,1440
60,500,5000,4720,1440
10,240,5000,4725,1440
NA,NA,5000,4730,1440
70,400,5000,4715,1435
190,1200,5000,4720,1435
70,1000,5000,4725,1435
30,300,5000,4730,1435
10,110,5000,4735,1435
10,60,5000,4715,1430
50,280,5000,4720,1430
110,1300,5000,4725,1430
30,800,5000,4730,1430
10,140,5000,4735,1430
NA,NA,5000,4725,1425
NA,NA,5000,4730,1425
NA,NA,1000,6473,1686
NA,NA,1000,6494,1677
10,60,1000,6491,1676
NA,NA,1000,6494,1676
NA,NA,1000,6451,1675
10,80,1000,6490,1675
20,290,1000,6491,1675
10,210,1000,6492,1675
NA,NA,1000,6493,1675
NA,NA,1000,6494,1675
NA,NA,1000,6441,1670
NA,NA,1000,6396,1650
NA,NA,1000,6394,1645
10,50,1000,6465,1639
30,70,1000,6367,1638
NA,NA,1000,6460,1634
30,130,1000,6372,1632
NA,NA,1000,6346,1631
NA,NA,1000,6388,1631
NA,NA,1000,6404,1631
NA,NA,1000,6350,1630
NA,NA,1000,6386,1629
90,100,1000,6379,1627
50,800,5000,6480,1675
10,70,5000,6485,1675
NA,NA,5000,6495,1675
NA,NA,5000,6475,1670
70,600,5000,6480,1670
120,1100,5000,6485,1670
110,2200,5000,6490,1670
40,280,5000,6495,1670
0,110,5000,6415,1665
NA,NA,5000,6465,1665
0,50,5000,6470,1665
70,1800,5000,6475,1665
110,1800,5000,6480,1665
80,1100,5000,6485,1665
10,130,5000,6490,1665
30,90,5000,6495,1665
40,70,5000,6405,1660
150,300,5000,6410,1660
150,1400,5000,6415,1660
150,2700,5000,6450,1660
150,2600,5000,6455,1660
130,1800,5000,6460,1660
40,1300,5000,6465,1660
50,2000,5000,6470,1660
110,1000,5000,6475,1660
100,1500,5000,6480,1660
30,400,5000,6485,1660
NA,NA,5000,6400,1655
80,1300,5000,6405,1655
200,2300,5000,6410,1655
110,2300,5000,6415,1655
40,1200,5000,6420,1655
110,600,5000,6425,1655
170,1000,5000,6430,1655
120,1300,5000,6435,1655
40,600,5000,6440,1655
60,1500,5000,6445,1655
20,400,5000,6460,1655
40,800,5000,6465,1655
NA,NA,5000,6470,1655
10,10,5000,6370,1650
70,110,5000,6375,1650
50,1100,5000,6400,1650
180,1300,5000,6405,1650
30,300,5000,6410,1650
60,400,5000,6415,1650
120,800,5000,6420,1650
120,1200,5000,6425,1650
190,1300,5000,6430,1650
70,1100,5000,6435,1650
160,1600,5000,6440,1650
100,1100,5000,6445,1650
130,2800,5000,6460,1650
20,500,5000,6465,1650
NA,NA,5000,6360,1645
40,60,5000,6365,1645
150,600,5000,6395,1645
60,180,5000,6400,1645
130,600,5000,6405,1645
250,500,5000,6410,1645
50,70,5000,6415,1645
180,800,5000,6420,1645
60,80,5000,6425,1645
140,220,5000,6430,1645
290,900,5000,6435,1645
90,400,5000,6440,1645
130,700,5000,6445,1645
60,400,5000,6450,1645
40,1600,5000,6455,1645
40,700,5000,6460,1645
NA,NA,5000,6465,1645
70,120,5000,6360,1640
10,30,5000,6365,1640
NA,NA,5000,6380,1640
30,40,5000,6390,1640
140,240,5000,6395,1640
40,50,5000,6400,1640
30,40,5000,6405,1640
20,20,5000,6410,1640
70,80,5000,6415,1640
100,110,5000,6420,1640
20,20,5000,6425,1640
20,20,5000,6430,1640
280,400,5000,6435,1640
50,170,5000,6440,1640
110,400,5000,6445,1640
50,300,5000,6450,1640
170,1500,5000,6455,1640
130,2900,5000,6460,1640
20,220,5000,6465,1640
150,400,5000,6360,1635
50,60,5000,6380,1635
20,30,5000,6385,1635
60,70,5000,6390,1635
40,40,5000,6395,1635
50,50,5000,6400,1635
120,140,5000,6405,1635
150,160,5000,6410,1635
170,180,5000,6415,1635
180,220,5000,6420,1635
50,60,5000,6425,1635
80,90,5000,6430,1635
80,280,5000,6435,1635
190,500,5000,6440,1635
10,210,5000,6445,1635
240,1500,5000,6450,1635
160,1500,5000,6455,1635
40,400,5000,6460,1635
170,300,5000,6355,1630
100,500,5000,6360,1630
30,40,5000,6365,1630
20,20,5000,6390,1630
40,40,5000,6395,1630
300,400,5000,6405,1630
280,300,5000,6410,1630
100,110,5000,6415,1630
60,60,5000,6420,1630
200,300,5000,6425,1630
140,190,5000,6430,1630
160,270,5000,6435,1630
40,200,5000,6440,1630
240,2200,5000,6445,1630
110,600,5000,6450,1630
200,1300,5000,6455,1630
20,120,5000,6345,1625
90,500,5000,6350,1625
170,900,5000,6355,1625
260,800,5000,6360,1625
100,500,5000,6365,1625
NA,NA,5000,6370,1625
30,40,5000,6390,1625
70,70,5000,6395,1625
20,20,5000,6400,1625
60,70,5000,6405,1625
120,130,5000,6410,1625
270,300,5000,6415,1625
160,190,5000,6420,1625
190,240,5000,6425,1625
100,130,5000,6430,1625
90,130,5000,6435,1625
180,700,5000,6440,1625
140,800,5000,6445,1625
40,100,5000,6450,1625
40,160,5000,6350,1620
220,1700,5000,6355,1620
230,500,5000,6360,1620
280,1100,5000,6365,1620
300,900,5000,6370,1620
400,700,5000,6375,1620
100,110,5000,6380,1620
80,120,5000,6385,1620
120,130,5000,6390,1620
400,500,5000,6395,1620
280,300,5000,6400,1620
400,400,5000,6405,1620
280,300,5000,6410,1620
100,130,5000,6415,1620
30,30,5000,6420,1620
60,70,5000,6425,1620
120,300,5000,6430,1620
120,400,5000,6435,1620
60,400,5000,6440,1620
80,280,5000,6445,1620
10,150,5000,6350,1615
90,270,5000,6355,1615
400,500,5000,6360,1615
700,1300,5000,6365,1615
270,700,5000,6370,1615
300,500,5000,6375,1615
180,300,5000,6380,1615
160,230,5000,6385,1615
250,300,5000,6390,1615
270,400,5000,6395,1615
90,160,5000,6400,1615
160,220,5000,6405,1615
300,500,5000,6410,1615
300,500,5000,6415,1615
80,130,5000,6420,1615
60,150,5000,6425,1615
120,500,5000,6430,1615
40,70,5000,6435,1615
NA,NA,5000,6440,1615
20,60,5000,6350,1610
270,600,5000,6355,1610
90,500,5000,6360,1610
500,900,5000,6365,1610
500,800,5000,6370,1610
300,900,5000,6375,1610
120,300,5000,6380,1610
140,250,5000,6385,1610
110,400,5000,6390,1610
300,900,5000,6395,1610
140,400,5000,6400,1610
80,170,5000,6405,1610
30,120,5000,6410,1610
70,190,5000,6415,1610
40,180,5000,6420,1610
10,20,5000,6425,1610
20,60,5000,6355,1605
300,600,5000,6360,1605
260,500,5000,6365,1605
170,300,5000,6370,1605
150,500,5000,6375,1605
150,700,5000,6380,1605
100,260,5000,6385,1605
100,600,5000,6390,1605
80,700,5000,6395,1605
80,240,5000,6400,1605
70,190,5000,6405,1605
200,500,5000,6410,1605
300,800,5000,6415,1605
10,10,5000,6420,1605
20,60,5000,6360,1600
190,600,5000,6365,1600
230,1000,5000,6370,1600
120,800,5000,6375,1600
50,270,5000,6380,1600
150,500,5000,6385,1600
50,190,5000,6390,1600
200,1000,5000,6395,1600
100,400,5000,6400,1600
40,230,5000,6405,1600
280,700,5000,6410,1600
400,500,5000,6415,1600
10,20,5000,6365,1595
140,290,5000,6370,1595
210,1100,5000,6375,1595
70,240,5000,6380,1595
40,50,5000,6385,1595
150,600,5000,6390,1595
30,80,5000,6395,1595
150,400,5000,6415,1595
190,2200,10000,6440,1660
170,1800,10000,6450,1650
10,20,10000,6370,1640
600,7000,20000,6420,1660
0,110,20000,6500,1660
NA,NA,1000,2999,3553
0,900,5000,3030,3640
0,1200,5000,3035,3640
0,1300,5000,3030,3635
0,800,5000,3035,3635
0,600,5000,3030,3630
0,600,5000,3035,3630
0,400,5000,3035,3625
0,290,5000,3030,3620
0,1000,5000,3035,3620
0,60,5000,3030,3615
0,800,5000,3035,3615
0,90,5000,3015,3610
0,220,5000,3030,3610
0,700,5000,3035,3610
0,210,5000,3030,3605
0,900,5000,3035,3605
0,400,5000,3030,3600
0,400,5000,3035,3600
0,120,10000,3140,3690
0,600,10000,3150,3690
0,1300,10000,3150,3680
0,700,10000,3020,3630
0,1500,10000,3020,3620
0,800,10000,3020,3610
0,500,10000,3020,3600
0,3000,10000,3120,3350
NA,NA,20000,2980,3560
NA,NA,20000,2940,3340
NA,NA,20000,3200,3340
NA,NA,40000,3160,3680
0,130000,40000,3200,3680
NA,NA,40000,3240,3680
0,1400,40000,3040,3640
NA,NA,40000,3120,3640
0,80000,40000,3160,3640
10,28000,40000,3200,3640
NA,NA,40000,3040,3600
0,60000,40000,3080,3600
0,70000,40000,3120,3600
NA,NA,40000,3160,3600
NA,NA,40000,3200,3600
NA,NA,40000,3000,3560
0,80000,40000,3040,3560
10,110000,40000,3080,3560
0,110000,40000,3120,3560
30,80000,40000,3160,3560
60,110000,40000,3200,3560
NA,NA,40000,3240,3560
NA,NA,40000,3000,3520
0,80000,40000,3040,3520
0,170000,40000,3080,3520
NA,NA,40000,3120,3520
60,110000,40000,3160,3520
270,140000,40000,3200,3520
NA,NA,40000,3240,3520
NA,NA,40000,3000,3480
NA,NA,40000,3040,3480
0,1e+05,40000,3080,3480
NA,NA,40000,3120,3480
30,110000,40000,3160,3480
NA,NA,40000,3200,3480
170,50000,40000,3240,3480
0,6000,40000,2960,3440
0,70000,40000,3000,3440
NA,NA,40000,3040,3440
0,90000,40000,3080,3440
30,120000,40000,3120,3440
40,110000,40000,3160,3440
20,90000,40000,3200,3440
10,18000,40000,3240,3440
NA,NA,40000,2920,3400
NA,NA,40000,2960,3400
10,160000,40000,3000,3400
0,130000,40000,3040,3400
20,130000,40000,3080,3400
50,130000,40000,3120,3400
60,120000,40000,3160,3400
50,140000,40000,3200,3400
NA,NA,40000,3240,3400
NA,NA,40000,2920,3360
NA,NA,40000,2960,3360
NA,NA,40000,3000,3360
20,120000,40000,3040,3360
150,110000,40000,3080,3360
60,110000,40000,3120,3360
120,110000,40000,3160,3360
60,60000,40000,3200,3360
0,40000,40000,2960,3320
0,110000,40000,3000,3320
NA,NA,40000,3040,3320
NA,NA,40000,3080,3320
0,600,40000,3160,3320
NA,NA,1000,2881,5127
NA,NA,1000,3143,4950
NA,NA,1000,3240,4901
NA,NA,5000,2785,4920
NA,NA,5000,3035,4790
0,130000,10000,3100,4990
NA,NA,10000,3030,4950
NA,NA,10000,3110,4800
NA,NA,10000,3040,4780
NA,NA,20000,2820,5060
NA,NA,20000,3040,5040
0,40000,20000,2840,4980
0,40000,20000,2860,4980
0,150000,20000,3080,4980
NA,NA,20000,3140,4980
NA,NA,20000,3180,4980
0,70000,20000,2840,4960
0,140000,20000,2860,4960
0,30000,20000,3080,4960
0,3e+05,20000,3100,4960
0,210000,20000,2840,4860
0,250000,20000,2860,4860
0,80000,20000,2840,4840
0,6e+05,20000,2860,4840
0,90000,20000,2880,4820
NA,NA,20000,3200,4820
0,29000,20000,2880,4800
NA,NA,20000,2940,4800
0,140000,40000,2840,5120
0,80000,40000,2800,5080
0,1e+05,40000,2840,5080
NA,NA,40000,2880,5080
NA,NA,40000,2920,5080
0,110000,40000,2840,5040
0,270000,40000,2880,5040
NA,NA,40000,2920,5040
0,170000,40000,2960,5040
0,1e+05,40000,3000,5040
NA,NA,40000,2760,5000
0,110000,40000,2800,5000
0,240000,40000,2840,5000
0,4e+05,40000,2880,5000
0,1700000,40000,2920,5000
0,2200000,40000,2960,5000
0,5e+05,40000,3000,5000
0,3e+05,40000,3040,5000
0,110000,40000,3080,5000
0,6e+05,40000,3120,5000
NA,NA,40000,3160,5000
0,60000,40000,2800,4960
0,120000,40000,2880,4960
0,4e+05,40000,2920,4960
0,250000,40000,2960,4960
0,4e+05,40000,3000,4960
0,4e+05,40000,3040,4960
NA,NA,40000,3200,4960
0,130000,40000,2800,4920
0,8e+05,40000,2840,4920
0,110000,40000,2880,4920
NA,NA,40000,3040,4920
0,130000,40000,3080,4920
0,190000,40000,3160,4920
0,80000,40000,3200,4920
NA,NA,40000,2760,4880
0,50000,40000,2800,4880
0,80000,40000,2840,4880
0,4e+05,40000,2880,4880
NA,NA,40000,3120,4880
0,140000,40000,3160,4880
0,240000,40000,3200,4880
NA,NA,40000,2800,4840
0,1200000,40000,2880,4840
NA,NA,40000,3120,4840
0,4e+05,40000,3160,4840
0,70000,40000,3200,4840
0,110000,40000,2840,4800
