"J0000T","UAA","res","x","y"
NA,NA,1000,6473,1686
0,70,5000,6390,1635
0,40,5000,6395,1635
0,20,5000,6390,1630
0,40,5000,6395,1630
0,40,5000,6390,1625
0,70,5000,6395,1625
0,130,5000,6390,1620
0,500,5000,6395,1620
0,60,5000,6355,1605
NA,NA,5000,6415,1595
0,90,10000,6380,1630
0,230,10000,6380,1620
120,1100,10000,6350,1610
120,1100,10000,6380,1610
90,1900,10000,6390,1610
280,1700,10000,6380,1600
100,2400,10000,6390,1600
180,4000,20000,6340,1620
300,6000,20000,6360,1620
500,11000,20000,6360,1600
NA,NA,40000,6360,1640
120,30000,40000,6400,1640
100,40000,40000,6440,1640
NA,NA,40000,6480,1640
190,13000,40000,6400,1600
NA,NA,40000,6440,1600
90,2400,40000,6360,1560
NA,NA,1000,3189,3710
NA,NA,1000,3250,3700
NA,NA,1000,3129,3670
NA,NA,1000,3123,3624
NA,NA,1000,3212,3590
NA,NA,1000,3242,3580
NA,NA,1000,3245,3576
NA,NA,1000,3245,3574
NA,NA,1000,2999,3553
NA,NA,1000,3235,3483
NA,NA,1000,2999,3460
NA,NA,1000,3242,3458
NA,NA,1000,3255,3436
NA,NA,1000,2975,3429
NA,NA,1000,2934,3423
NA,NA,1000,2945,3384
NA,NA,5000,3190,3710
180,230,5000,3240,3710
110,130,5000,3170,3705
NA,NA,5000,3175,3705
400,500,5000,3180,3705
700,1100,5000,3185,3705
900,900,5000,3190,3705
500,600,5000,3195,3705
800,1100,5000,3240,3705
800,800,5000,3170,3700
800,900,5000,3175,3700
700,1000,5000,3180,3700
1100,1200,5000,3185,3700
700,800,5000,3190,3700
400,500,5000,3195,3700
1200,1700,5000,3240,3700
900,1000,5000,3245,3700
290,300,5000,3160,3695
180,190,5000,3165,3695
400,400,5000,3170,3695
1100,1200,5000,3175,3695
900,1100,5000,3190,3695
800,900,5000,3195,3695
1000,1200,5000,3240,3695
1100,1400,5000,3245,3695
800,1000,5000,3250,3695
600,600,5000,3160,3690
400,400,5000,3165,3690
500,500,5000,3170,3690
200,210,5000,3175,3690
800,800,5000,3190,3690
800,1000,5000,3195,3690
600,900,5000,3240,3690
300,500,5000,3245,3690
230,290,5000,3250,3690
800,800,5000,3160,3685
900,900,5000,3165,3685
NA,NA,5000,3180,3685
500,600,5000,3185,3685
1100,1400,5000,3190,3685
1500,1700,5000,3195,3685
600,700,5000,3160,3680
700,700,5000,3165,3680
900,900,5000,3180,3680
1300,1500,5000,3185,3680
1400,1600,5000,3190,3680
1300,1600,5000,3195,3680
400,400,5000,3150,3675
700,800,5000,3155,3675
300,400,5000,3160,3675
1300,1300,5000,3165,3675
800,800,5000,3170,3675
900,1200,5000,3175,3675
1600,1700,5000,3180,3675
1500,1800,5000,3185,3675
900,1300,5000,3190,3675
800,1300,5000,3195,3675
700,1000,5000,3200,3675
1300,1900,5000,3205,3675
700,1400,5000,3210,3675
1400,2100,5000,3215,3675
NA,NA,5000,3220,3675
1300,1500,5000,3150,3670
1300,1300,5000,3155,3670
1100,1100,5000,3160,3670
1500,1600,5000,3165,3670
1500,1500,5000,3170,3670
2000,2100,5000,3175,3670
1500,1600,5000,3180,3670
1800,1800,5000,3185,3670
1200,1600,5000,3190,3670
1000,1200,5000,3195,3670
1200,1700,5000,3200,3670
1700,2600,5000,3205,3670
1200,2300,5000,3210,3670
500,800,5000,3215,3670
500,600,5000,3130,3665
900,1000,5000,3135,3665
1300,1500,5000,3140,3665
1800,1900,5000,3145,3665
1600,1700,5000,3150,3665
1700,1800,5000,3155,3665
1600,1600,5000,3160,3665
1900,1900,5000,3165,3665
1600,1900,5000,3180,3665
1300,1400,5000,3185,3665
1200,1500,5000,3190,3665
1700,2000,5000,3195,3665
1600,2100,5000,3200,3665
1500,2000,5000,3205,3665
800,1400,5000,3210,3665
1000,1000,5000,3130,3660
1200,1300,5000,3135,3660
900,900,5000,3140,3660
1500,1600,5000,3145,3660
1400,1500,5000,3150,3660
1600,1700,5000,3155,3660
1400,1400,5000,3160,3660
2000,2000,5000,3165,3660
1700,1800,5000,3180,3660
1000,1200,5000,3185,3660
1100,1300,5000,3190,3660
1600,2100,5000,3195,3660
1600,2100,5000,3200,3660
1600,2100,5000,3205,3660
300,700,5000,3210,3660
500,500,5000,3130,3655
1300,1400,5000,3135,3655
1000,1000,5000,3140,3655
1000,1200,5000,3145,3655
1100,1300,5000,3150,3655
1400,1500,5000,3155,3655
1200,1300,5000,3160,3655
1200,1400,5000,3165,3655
900,900,5000,3180,3655
