"F4000T","UAA","NutsShare","res","x","y"
0,90,0,5000,4700,1455
0,190,0,5000,4705,1455
0,400,0,5000,4700,1450
0,1200,0,5000,4705,1450
0,50,0,5000,4715,1445
0,1000,0,5000,4715,1440
0,500,0,5000,4720,1440
0,240,0,5000,4725,1440
0,20,0,5000,4730,1440
0,400,0,5000,4715,1435
0,60,0,5000,4715,1430
0,400,0,10000,4710,1450
0,5000,0,20000,4720,1420
NA,NA,NA,1000,6473,1686
NA,NA,NA,1000,6451,1675
NA,NA,NA,1000,6441,1670
NA,NA,NA,1000,6396,1650
NA,NA,NA,1000,6394,1645
10,130,0.08,1000,6372,1632
NA,NA,NA,1000,6346,1631
NA,NA,NA,1000,6388,1631
NA,NA,NA,1000,6404,1631
NA,NA,NA,1000,6350,1630
NA,NA,NA,1000,6386,1629
0,600,0,5000,6490,1675
NA,NA,NA,5000,6495,1675
0,2200,0,5000,6490,1670
0,280,0,5000,6495,1670
NA,NA,NA,5000,6405,1660
10,2700,0,5000,6450,1660
10,2600,0,5000,6455,1660
NA,NA,NA,5000,6400,1655
0,1300,0,5000,6405,1655
0,2300,0,5000,6410,1655
0,2300,0,5000,6415,1655
0,1200,0,5000,6420,1655
0,600,0,5000,6425,1655
0,600,0,5000,6440,1655
0,1500,0,5000,6445,1655
NA,NA,NA,5000,6470,1655
10,1100,0.01,5000,6400,1650
20,1300,0.02,5000,6405,1650
10,300,0.03,5000,6410,1650
20,400,0.05,5000,6415,1650
20,800,0.03,5000,6420,1650
10,1200,0.01,5000,6425,1650
0,1600,0,5000,6440,1650
10,1100,0.01,5000,6445,1650
10,600,0.02,5000,6395,1645
10,180,0.06,5000,6400,1645
30,600,0.05,5000,6405,1645
90,500,0.18,5000,6410,1645
10,70,0.14,5000,6415,1645
30,800,0.04,5000,6420,1645
10,80,0.12,5000,6425,1645
20,220,0.09,5000,6430,1645
20,900,0.02,5000,6435,1645
0,400,0,5000,6440,1645
10,700,0.01,5000,6445,1645
0,400,0,5000,6450,1645
0,1600,0,5000,6455,1645
NA,NA,NA,5000,6380,1640
0,40,0,5000,6390,1640
0,240,0,5000,6395,1640
20,50,0.4,5000,6400,1640
10,40,0.25,5000,6405,1640
0,20,0,5000,6410,1640
30,80,0.38,5000,6415,1640
20,110,0.18,5000,6420,1640
10,20,0.5,5000,6425,1640
NA,NA,NA,5000,6430,1640
10,400,0.03,5000,6435,1640
0,170,0,5000,6440,1640
0,400,0,5000,6445,1640
0,300,0,5000,6450,1640
10,1500,0.01,5000,6455,1640
0,60,0,5000,6380,1635
0,30,0,5000,6385,1635
0,70,0,5000,6390,1635
0,40,0,5000,6395,1635
0,50,0,5000,6400,1635
20,140,0.14,5000,6405,1635
40,160,0.25,5000,6410,1635
60,180,0.33,5000,6415,1635
10,220,0.05,5000,6420,1635
0,60,0,5000,6425,1635
0,90,0,5000,6430,1635
10,280,0.04,5000,6435,1635
0,1500,0,5000,6450,1635
0,1500,0,5000,6455,1635
10,300,0.03,5000,6355,1630
0,20,0,5000,6390,1630
0,40,0,5000,6395,1630
10,400,0.03,5000,6405,1630
10,300,0.03,5000,6410,1630
10,110,0.09,5000,6415,1630
0,60,0,5000,6420,1630
10,300,0.03,5000,6425,1630
0,190,0,5000,6430,1630
10,270,0.04,5000,6435,1630
0,600,0,5000,6450,1630
0,1300,0,5000,6455,1630
NA,NA,NA,5000,6345,1625
0,500,0,5000,6350,1625
10,900,0.01,5000,6355,1625
30,800,0.04,5000,6360,1625
30,500,0.06,5000,6365,1625
10,40,0.25,5000,6390,1625
