"W1000T","UAA","WineShare","res","x","y"
NA,NA,NA,1000,4715,1450
10,400,0.03,5000,4710,1450
NA,NA,NA,5000,4715,1445
80,1000,0.08,5000,4715,1440
40,500,0.08,5000,4720,1440
0,240,0,5000,4725,1440
NA,NA,NA,5000,4730,1440
110,1200,0.09,5000,4720,1435
30,1000,0.03,5000,4725,1435
20,280,0.07,5000,4720,1430
60,1300,0.05,5000,4725,1430
NA,NA,NA,5000,4725,1425
0,30,0,5000,4730,1425
40,1900,0.02,10000,4700,1450
30,500,0.06,10000,4710,1430
40,1400,0.03,10000,4730,1430
NA,NA,NA,1000,6473,1686
NA,NA,NA,1000,6396,1650
NA,NA,NA,1000,6394,1645
NA,NA,NA,1000,6372,1632
NA,NA,NA,1000,6388,1631
NA,NA,NA,1000,6404,1631
NA,NA,NA,1000,6386,1629
80,100,0.8,1000,6379,1627
NA,NA,NA,5000,6475,1670
NA,NA,NA,5000,6405,1660
0,2300,0,5000,6410,1655
0,2300,0,5000,6415,1655
NA,NA,NA,5000,6470,1655
0,300,0,5000,6410,1650
0,400,0,5000,6415,1650
0,600,0,5000,6395,1645
20,500,0.04,5000,6410,1645
10,70,0.14,5000,6415,1645
0,220,0,5000,6430,1645
10,900,0.01,5000,6435,1645
0,400,0,5000,6440,1645
0,700,0,5000,6445,1645
NA,NA,NA,5000,6380,1640
0,40,0,5000,6390,1640
0,240,0,5000,6395,1640
10,20,0.5,5000,6410,1640
20,80,0.25,5000,6415,1640
NA,NA,NA,5000,6430,1640
0,400,0,5000,6435,1640
0,170,0,5000,6440,1640
0,400,0,5000,6445,1640
10,60,0.17,5000,6380,1635
10,30,0.33,5000,6385,1635
10,70,0.14,5000,6390,1635
10,40,0.25,5000,6395,1635
0,50,0,5000,6400,1635
60,140,0.43,5000,6405,1635
80,160,0.5,5000,6410,1635
70,180,0.39,5000,6415,1635
110,220,0.5,5000,6420,1635
10,60,0.17,5000,6425,1635
10,1500,0.01,5000,6450,1635
40,1500,0.03,5000,6455,1635
0,20,0,5000,6390,1630
0,40,0,5000,6395,1630
80,400,0.2,5000,6405,1630
130,300,0.43,5000,6410,1630
60,110,0.55,5000,6415,1630
20,60,0.33,5000,6420,1630
10,300,0.03,5000,6425,1630
0,600,0,5000,6450,1630
40,1300,0.03,5000,6455,1630
10,800,0.01,5000,6360,1625
0,500,0,5000,6365,1625
NA,NA,NA,5000,6370,1625
10,40,0.25,5000,6390,1625
20,70,0.29,5000,6395,1625
0,20,0,5000,6400,1625
10,70,0.14,5000,6405,1625
70,130,0.54,5000,6410,1625
150,300,0.5,5000,6415,1625
0,700,0,5000,6440,1625
0,800,0,5000,6445,1625
NA,NA,NA,5000,6450,1625
50,500,0.1,5000,6360,1620
60,1100,0.05,5000,6365,1620
90,900,0.1,5000,6370,1620
290,700,0.41,5000,6375,1620
80,110,0.73,5000,6380,1620
60,120,0.5,5000,6385,1620
90,130,0.69,5000,6390,1620
400,500,0.8,5000,6395,1620
210,300,0.7,5000,6400,1620
140,400,0.35,5000,6405,1620
70,300,0.23,5000,6410,1620
20,130,0.15,5000,6415,1620
0,400,0,5000,6440,1620
0,280,0,5000,6445,1620
240,500,0.48,5000,6360,1615
300,1300,0.23,5000,6365,1615
90,700,0.13,5000,6370,1615
150,500,0.3,5000,6375,1615
100,300,0.33,5000,6380,1615
90,230,0.39,5000,6385,1615
180,300,0.6,5000,6390,1615
220,400,0.55,5000,6395,1615
50,160,0.31,5000,6400,1615
70,220,0.32,5000,6405,1615
NA,NA,NA,5000,6440,1615
40,500,0.08,5000,6360,1610
210,900,0.23,5000,6365,1610
250,800,0.31,5000,6370,1610
130,900,0.14,5000,6375,1610
50,300,0.17,5000,6380,1610
60,250,0.24,5000,6385,1610
90,400,0.22,5000,6390,1610
240,900,0.27,5000,6395,1610
30,400,0.07,5000,6400,1610
10,170,0.06,5000,6405,1610
20,600,0.03,5000,6360,1605
30,500,0.06,5000,6365,1605
10,300,0.03,5000,6370,1605
40,500,0.08,5000,6375,1605
30,600,0.05,5000,6390,1605
10,700,0.01,5000,6395,1605
40,500,0.08,5000,6410,1605
20,800,0.03,5000,6415,1605
NA,NA,NA,5000,6360,1600
10,600,0.02,5000,6365,1600
20,1000,0.02,5000,6370,1600
10,800,0.01,5000,6375,1600
20,190,0.11,5000,6390,1600
130,1000,0.13,5000,6395,1600
60,700,0.09,5000,6410,1600
10,500,0.02,5000,6415,1600
NA,NA,NA,5000,6365,1595
10,290,0.03,5000,6370,1595
10,1100,0.01,5000,6375,1595
50,600,0.08,5000,6390,1595
20,80,0.25,5000,6395,1595
10,400,0.03,5000,6415,1595
0,2500,0,10000,6480,1670
0,3000,0,10000,6490,1670
0,1900,0,10000,6410,1660
0,3000,0,10000,6460,1660
0,5000,0,10000,6470,1660
0,5000,0,10000,6480,1660
NA,NA,NA,10000,6490,1660
10,4000,0,10000,6400,1650
10,4000,0,10000,6420,1650
10,5000,0,10000,6430,1650
10,5000,0,10000,6440,1650
0,1800,0,10000,6450,1650
0,4000,0,10000,6460,1650
30,900,0.03,10000,6400,1640
30,1000,0.03,10000,6420,1640
0,4000,0,10000,6450,1640
0,4000,0,10000,6460,1640
10,1000,0.01,10000,6360,1630
20,800,0.03,10000,6430,1630
20,3000,0.01,10000,6440,1630
NA,NA,NA,10000,6460,1630
10,500,0.02,10000,6420,1620
10,1000,0.01,10000,6430,1620
30,1300,0.02,10000,6410,1610
180,1700,0.11,10000,6380,1600
40,1000,0.04,10000,6400,1600
20,290,0.07,10000,6380,1590
10,7000,0,20000,6420,1660
10,8000,0,20000,6440,1660
0,110,0,20000,6500,1660
0,400,0,20000,6360,1640
130,4000,0.03,20000,6340,1620
90,1100,0.08,20000,6340,1600
10,1000,0.01,20000,6420,1600
NA,NA,0,1000,2999,3553
0,300,0,5000,3160,3695
0,190,0,5000,3165,3695
0,400,0,5000,3170,3695
0,1200,0,5000,3175,3695
0,1100,0,5000,3190,3695
0,900,0,5000,3195,3695
0,1200,0,5000,3240,3695
0,1400,0,5000,3245,3695
0,1000,0,5000,3250,3695
0,600,0,5000,3160,3690
0,400,0,5000,3165,3690
0,500,0,5000,3170,3690
0,210,0,5000,3175,3690
0,800,0,5000,3190,3690
0,1000,0,5000,3195,3690
0,900,0,5000,3240,3690
0,500,0,5000,3245,3690
0,290,0,5000,3250,3690
0,800,0,5000,3160,3685
0,900,0,5000,3165,3685
0,1400,0,5000,3190,3685
0,1700,0,5000,3195,3685
0,700,0,5000,3160,3680
0,700,0,5000,3165,3680
0,1600,0,5000,3190,3680
0,1600,0,5000,3195,3680
0,400,0,5000,3150,3675
0,800,0,5000,3155,3675
0,400,0,5000,3160,3675
0,1300,0,5000,3165,3675
0,800,0,5000,3170,3675
0,1200,0,5000,3175,3675
0,1700,0,5000,3180,3675
0,1800,0,5000,3185,3675
0,1300,0,5000,3190,3675
0,1300,0,5000,3195,3675
0,1500,0,5000,3150,3670
0,1300,0,5000,3155,3670
0,1100,0,5000,3160,3670
0,1600,0,5000,3165,3670
0,1500,0,5000,3170,3670
0,2100,0,5000,3175,3670
0,1600,0,5000,3180,3670
0,1800,0,5000,3185,3670
0,1600,0,5000,3190,3670
0,1200,0,5000,3195,3670
0,1500,0,5000,3140,3665
0,1900,0,5000,3145,3665
0,1700,0,5000,3150,3665
0,1800,0,5000,3155,3665
0,1600,0,5000,3160,3665
0,1900,0,5000,3165,3665
0,1900,0,5000,3180,3665
0,1400,0,5000,3185,3665
0,1500,0,5000,3190,3665
0,2000,0,5000,3195,3665
0,900,0,5000,3140,3660
0,1600,0,5000,3145,3660
0,1500,0,5000,3150,3660
0,1700,0,5000,3155,3660
0,1400,0,5000,3160,3660
0,2000,0,5000,3165,3660
0,1800,0,5000,3180,3660
0,1200,0,5000,3185,3660
0,1300,0,5000,3190,3660
0,2100,0,5000,3195,3660
0,1300,0,5000,3160,3655
0,1400,0,5000,3165,3655
0,1400,0,5000,3160,3650
0,1400,0,5000,3165,3650
0,500,0,5000,3160,3645
0,1500,0,5000,3165,3645
0,900,0,5000,3030,3640
0,1200,0,5000,3035,3640
0,1600,0,5000,3160,3640
0,1500,0,5000,3165,3640
0,1300,0,5000,3030,3635
0,800,0,5000,3035,3635
0,700,0,5000,3150,3635
0,1700,0,5000,3155,3635
0,600,0,5000,3030,3630
0,600,0,5000,3035,3630
0,800,0,5000,3150,3630
0,1400,0,5000,3155,3630
0,400,0,5000,3035,3625
0,1600,0,5000,3080,3625
0,700,0,5000,3085,3625
0,800,0,5000,3095,3625
0,600,0,5000,3100,3625
0,2000,0,5000,3140,3625
0,1300,0,5000,3145,3625
0,1900,0,5000,3150,3625
0,400,0,5000,3155,3625
0,290,0,5000,3030,3620
0,1000,0,5000,3035,3620
0,1700,0,5000,3080,3620
0,400,0,5000,3085,3620
0,500,0,5000,3090,3620
0,2400,0,5000,3095,3620
0,1500,0,5000,3100,3620
0,900,0,5000,3105,3620
0,300,0,5000,3110,3620
0,1000,0,5000,3140,3620
0,1500,0,5000,3145,3620
0,1000,0,5000,3150,3620
0,1400,0,5000,3155,3620
0,60,0,5000,3030,3615
0,800,0,5000,3035,3615
0,1700,0,5000,3080,3615
0,1300,0,5000,3085,3615
0,2000,0,5000,3090,3615
0,2100,0,5000,3095,3615
0,700,0,5000,3120,3615
0,1000,0,5000,3125,3615
0,1100,0,5000,3130,3615
0,1500,0,5000,3135,3615
0,1500,0,5000,3140,3615
0,1900,0,5000,3145,3615
0,1300,0,5000,3150,3615
0,1400,0,5000,3155,3615
0,90,0,5000,3015,3610
0,220,0,5000,3030,3610
0,700,0,5000,3035,3610
0,1800,0,5000,3080,3610
0,1300,0,5000,3085,3610
0,1900,0,5000,3090,3610
0,1300,0,5000,3095,3610
0,900,0,5000,3120,3610
0,1300,0,5000,3125,3610
0,700,0,5000,3130,3610
0,600,0,5000,3135,3610
0,1100,0,5000,3140,3610
0,1600,0,5000,3145,3610
0,1400,0,5000,3150,3610
0,1200,0,5000,3155,3610
0,210,0,5000,3030,3605
0,900,0,5000,3035,3605
0,1700,0,5000,3080,3605
0,1700,0,5000,3085,3605
0,1800,0,5000,3090,3605
0,700,0,5000,3095,3605
0,800,0,5000,3100,3605
0,1700,0,5000,3105,3605
0,600,0,5000,3110,3605
0,1400,0,5000,3115,3605
0,1200,0,5000,3120,3605
0,1200,0,5000,3125,3605
0,1400,0,5000,3130,3605
0,1300,0,5000,3135,3605
0,1600,0,5000,3140,3605
0,1400,0,5000,3145,3605
0,700,0,5000,3150,3605
0,900,0,5000,3155,3605
