"T0000T","UAA","CitrusShare","res","x","y"
NA,NA,NA,1000,4715,1450
40,400,0.1,5000,4710,1450
NA,NA,NA,5000,4715,1445
0,1000,0,5000,4715,1440
10,1200,0.01,5000,4720,1435
10,1000,0.01,5000,4725,1435
10,280,0.04,5000,4720,1430
10,1300,0.01,5000,4725,1430
NA,NA,NA,5000,4725,1425
0,30,0,5000,4730,1425
10,1900,0.01,10000,4700,1450
10,500,0.02,10000,4710,1430
0,1400,0,10000,4730,1430
10,800,0.01,20000,4720,1440
NA,NA,NA,1000,6473,1686
NA,NA,NA,1000,6494,1677
0,60,0,1000,6491,1676
NA,NA,NA,1000,6494,1676
NA,NA,NA,1000,6451,1675
0,80,0,1000,6490,1675
10,290,0.03,1000,6491,1675
0,210,0,1000,6492,1675
NA,NA,NA,1000,6493,1675
NA,NA,NA,1000,6494,1675
NA,NA,NA,1000,6441,1670
NA,NA,NA,1000,6396,1650
NA,NA,NA,1000,6394,1645
10,70,0.14,1000,6367,1638
NA,NA,NA,1000,6372,1632
NA,NA,NA,1000,6346,1631
NA,NA,NA,1000,6404,1631
NA,NA,NA,1000,6350,1630
10,800,0.01,5000,6480,1675
0,70,0,5000,6485,1675
NA,NA,NA,5000,6495,1675
NA,NA,NA,5000,6475,1670
20,600,0.03,5000,6480,1670
20,1100,0.02,5000,6485,1670
10,2200,0,5000,6490,1670
0,280,0,5000,6495,1670
NA,NA,NA,5000,6465,1665
NA,NA,NA,5000,6470,1665
20,1800,0.01,5000,6475,1665
20,1800,0.01,5000,6480,1665
10,1100,0.01,5000,6485,1665
0,130,0,5000,6490,1665
0,90,0,5000,6495,1665
30,70,0.43,5000,6405,1660
0,2700,0,5000,6450,1660
0,2600,0,5000,6455,1660
0,1800,0,5000,6460,1660
0,1300,0,5000,6465,1660
10,2000,0,5000,6470,1660
20,1000,0.02,5000,6475,1660
0,1500,0,5000,6480,1660
0,400,0,5000,6485,1660
NA,NA,NA,5000,6400,1655
20,1300,0.02,5000,6405,1655
90,2300,0.04,5000,6410,1655
20,2300,0.01,5000,6415,1655
0,1200,0,5000,6420,1655
0,600,0,5000,6425,1655
10,1000,0.01,5000,6430,1655
0,1300,0,5000,6435,1655
10,600,0.02,5000,6440,1655
20,1500,0.01,5000,6445,1655
NA,NA,NA,5000,6470,1655
10,1100,0.01,5000,6400,1650
10,1300,0.01,5000,6405,1650
0,300,0,5000,6410,1650
0,400,0,5000,6415,1650
0,800,0,5000,6420,1650
0,1200,0,5000,6425,1650
10,1300,0.01,5000,6430,1650
0,1100,0,5000,6435,1650
10,1600,0.01,5000,6440,1650
0,1100,0,5000,6445,1650
NA,NA,NA,5000,6360,1645
10,60,0.17,5000,6365,1645
20,600,0.03,5000,6395,1645
0,180,0,5000,6400,1645
0,600,0,5000,6405,1645
0,800,0,5000,6420,1645
0,80,0,5000,6425,1645
0,400,0,5000,6440,1645
10,700,0.01,5000,6445,1645
0,400,0,5000,6450,1645
0,1600,0,5000,6455,1645
0,700,0,5000,6460,1645
NA,NA,NA,5000,6465,1645
30,120,0.25,5000,6360,1640
0,30,0,5000,6365,1640
NA,NA,NA,5000,6380,1640
0,40,0,5000,6390,1640
10,240,0.04,5000,6395,1640
0,50,0,5000,6400,1640
NA,NA,NA,5000,6405,1640
0,110,0,5000,6420,1640
NA,NA,NA,5000,6425,1640
0,170,0,5000,6440,1640
0,400,0,5000,6445,1640
10,300,0.03,5000,6450,1640
0,1500,0,5000,6455,1640
0,2900,0,5000,6460,1640
0,220,0,5000,6465,1640
80,400,0.2,5000,6360,1635
0,50,0,5000,6400,1635
0,140,0,5000,6405,1635
0,160,0,5000,6410,1635
0,180,0,5000,6415,1635
0,220,0,5000,6420,1635
10,60,0.17,5000,6425,1635
0,90,0,5000,6430,1635
0,280,0,5000,6435,1635
0,1500,0,5000,6450,1635
0,1500,0,5000,6455,1635
90,300,0.3,5000,6355,1630
50,500,0.1,5000,6360,1630
NA,NA,NA,5000,6365,1630
0,400,0,5000,6405,1630
0,300,0,5000,6410,1630
0,110,0,5000,6415,1630
10,60,0.17,5000,6420,1630
40,300,0.13,5000,6425,1630
10,190,0.05,5000,6430,1630
0,270,0,5000,6435,1630
20,600,0.03,5000,6450,1630
10,1300,0.01,5000,6455,1630
NA,NA,NA,5000,6345,1625
20,500,0.04,5000,6350,1625
