"UAAXK0000_ORG","UAA","res","x","y"
NA,NA,10000,4710,1430
30,3000,20000,4700,1440
NA,NA,20000,4720,1440
20,5000,20000,4720,1420
NA,NA,1000,6473,1686
0,70,5000,6405,1660
0,100,5000,6450,1625
NA,NA,5000,6440,1615
10,600,5000,6360,1605
20,500,5000,6365,1605
NA,NA,5000,6360,1600
20,600,5000,6365,1600
0,20,5000,6365,1595
NA,NA,5000,6415,1595
120,1900,10000,6410,1660
80,4000,10000,6420,1650
50,5000,10000,6430,1650
30,1000,10000,6420,1640
100,1500,10000,6430,1640
10,700,10000,6420,1630
110,800,10000,6430,1630
110,3000,10000,6440,1630
60,5000,10000,6450,1630
NA,NA,10000,6460,1630
20,500,10000,6420,1620
40,1000,10000,6430,1620
70,2200,10000,6440,1620
150,3000,10000,6360,1610
160,3000,10000,6370,1610
30,1100,10000,6380,1610
60,1900,10000,6390,1610
40,900,10000,6400,1610
170,1300,10000,6410,1610
30,2600,10000,6370,1600
140,1700,10000,6380,1600
100,2400,10000,6390,1600
110,1000,10000,6400,1600
20,2500,10000,6410,1600
30,1400,10000,6370,1590
130,7000,20000,6420,1660
30,11000,20000,6480,1660
0,110,20000,6500,1660
500,10000,20000,6400,1640
400,6000,20000,6360,1620
20,1200,20000,6380,1620
110,3000,20000,6400,1620
20,1000,20000,6420,1600
120,1000,20000,6380,1580
30,1200,40000,6360,1640
2100,40000,40000,6440,1640
160,5000,40000,6320,1600
NA,NA,1000,2999,3553
0,900,5000,3030,3640
0,1200,5000,3035,3640
0,120,10000,3140,3690
0,600,10000,3150,3690
0,1300,10000,3150,3680
NA,NA,10000,3120,3350
1000,26000,20000,3120,3580
1400,18000,20000,3140,3580
NA,NA,20000,2980,3560
2000,27000,20000,3120,3560
1600,40000,20000,3140,3560
1300,30000,20000,3120,3540
1100,21000,20000,3140,3540
270,28000,20000,3160,3540
400,26000,20000,3180,3540
800,30000,20000,3120,3520
600,23000,20000,3140,3520
700,29000,20000,3160,3520
600,27000,20000,3180,3520
1100,40000,20000,3080,3420
600,28000,20000,3100,3420
600,40000,20000,3080,3400
700,27000,20000,3100,3400
NA,NA,20000,2940,3340
NA,NA,20000,3200,3340
NA,NA,40000,3160,3680
1500,130000,40000,3200,3680
NA,NA,40000,3240,3680
0,1400,40000,3040,3640
NA,NA,40000,3120,3640
500,80000,40000,3160,3640
NA,NA,40000,3200,3640
NA,NA,40000,3000,3600
NA,NA,40000,3040,3600
NA,NA,40000,3080,3600
1200,70000,40000,3120,3600
1100,15000,40000,3160,3600
NA,NA,40000,3200,3600
3000,28000,40000,3000,3560
600,80000,40000,3040,3560
900,110000,40000,3080,3560
2700,80000,40000,3160,3560
1200,110000,40000,3200,3560
NA,NA,40000,3240,3560
NA,NA,40000,3000,3520
800,80000,40000,3040,3520
1500,170000,40000,3080,3520
1100,140000,40000,3200,3520
NA,NA,40000,3240,3520
NA,NA,40000,3000,3480
1400,80000,40000,3040,3480
1200,1e+05,40000,3080,3480
2400,1e+05,40000,3120,3480
2400,110000,40000,3160,3480
1000,110000,40000,3200,3480
NA,NA,40000,3240,3480
0,6000,40000,2960,3440
400,70000,40000,3000,3440
