"UAA_IB","UAA","res","x","y"
NA,NA,1000,4715,1450
0,90,5000,4700,1455
30,190,5000,4705,1455
50,400,5000,4700,1450
240,1200,5000,4705,1450
130,400,5000,4710,1450
20,50,5000,4715,1445
400,1000,5000,4715,1440
190,500,5000,4720,1440
70,240,5000,4725,1440
10,20,5000,4730,1440
140,400,5000,4715,1435
400,1200,5000,4720,1435
300,1000,5000,4725,1435
170,300,5000,4730,1435
60,110,5000,4735,1435
40,60,5000,4715,1430
130,280,5000,4720,1430
500,1300,5000,4725,1430
230,800,5000,4730,1430
30,140,5000,4735,1430
NA,NA,5000,4725,1425
0,30,5000,4730,1425
NA,NA,1000,6473,1686
NA,NA,1000,6451,1675
NA,NA,1000,6441,1670
NA,NA,1000,6396,1650
NA,NA,1000,6394,1645
30,50,1000,6465,1639
50,70,1000,6367,1638
NA,NA,1000,6460,1634
10,130,1000,6372,1632
NA,NA,1000,6346,1631
NA,NA,1000,6388,1631
NA,NA,1000,6404,1631
NA,NA,1000,6386,1629
20,100,1000,6379,1627
180,800,5000,6480,1675
60,70,5000,6485,1675
220,600,5000,6490,1675
20,20,5000,6495,1675
NA,NA,5000,6475,1670
250,600,5000,6480,1670
600,1100,5000,6485,1670
1300,2200,5000,6490,1670
200,280,5000,6495,1670
0,110,5000,6415,1665
190,1000,5000,6440,1665
NA,NA,5000,6445,1665
NA,NA,5000,6465,1665
10,50,5000,6470,1665
500,1800,5000,6475,1665
1400,1800,5000,6480,1665
800,1100,5000,6485,1665
120,130,5000,6490,1665
70,90,5000,6495,1665
60,70,5000,6405,1660
220,300,5000,6410,1660
240,1400,5000,6415,1660
80,900,5000,6440,1660
90,300,5000,6445,1660
180,2700,5000,6450,1660
180,2600,5000,6455,1660
150,1800,5000,6460,1660
260,1300,5000,6465,1660
260,2000,5000,6470,1660
500,1000,5000,6475,1660
1100,1500,5000,6480,1660
250,400,5000,6485,1660
NA,NA,5000,6400,1655
600,1300,5000,6405,1655
1100,2300,5000,6410,1655
300,2300,5000,6415,1655
90,1200,5000,6420,1655
180,600,5000,6425,1655
300,1000,5000,6430,1655
90,1300,5000,6435,1655
100,600,5000,6440,1655
230,1500,5000,6445,1655
30,400,5000,6460,1655
130,800,5000,6465,1655
NA,NA,5000,6470,1655
10,10,5000,6370,1650
80,110,5000,6375,1650
80,1100,5000,6400,1650
200,1300,5000,6405,1650
50,300,5000,6410,1650
40,400,5000,6415,1650
140,800,5000,6420,1650
150,1200,5000,6425,1650
170,1300,5000,6430,1650
80,1100,5000,6435,1650
110,1600,5000,6440,1650
80,1100,5000,6445,1650
600,2800,5000,6460,1650
40,500,5000,6465,1650
NA,NA,5000,6360,1645
50,60,5000,6365,1645
260,600,5000,6395,1645
80,180,5000,6400,1645
150,600,5000,6405,1645
170,500,5000,6410,1645
40,70,5000,6415,1645
190,800,5000,6420,1645
60,80,5000,6425,1645
110,220,5000,6430,1645
220,900,5000,6435,1645
70,400,5000,6440,1645
120,700,5000,6445,1645
60,400,5000,6450,1645
80,1600,5000,6455,1645
130,700,5000,6460,1645
NA,NA,5000,6465,1645
100,120,5000,6360,1640
20,30,5000,6365,1640
NA,NA,5000,6380,1640
30,40,5000,6390,1640
180,240,5000,6395,1640
20,50,5000,6400,1640
10,40,5000,6405,1640
10,20,5000,6410,1640
30,80,5000,6415,1640
70,110,5000,6420,1640
20,20,5000,6425,1640
20,20,5000,6430,1640
200,400,5000,6435,1640
40,170,5000,6440,1640
100,400,5000,6445,1640
50,300,5000,6450,1640
210,1500,5000,6455,1640
1700,2900,5000,6460,1640
140,220,5000,6465,1640
190,400,5000,6360,1635
40,60,5000,6380,1635
20,30,5000,6385,1635
50,70,5000,6390,1635
40,40,5000,6395,1635
40,50,5000,6400,1635
70,140,5000,6405,1635
60,160,5000,6410,1635
70,180,5000,6415,1635
130,220,5000,6420,1635
50,60,5000,6425,1635
60,90,5000,6430,1635
70,280,5000,6435,1635
180,500,5000,6440,1635
20,210,5000,6445,1635
240,1500,5000,6450,1635
400,1500,5000,6455,1635
160,400,5000,6460,1635
120,500,5000,6360,1630
20,40,5000,6365,1630
20,20,5000,6390,1630
40,40,5000,6395,1630
290,400,5000,6405,1630
180,300,5000,6410,1630
40,110,5000,6415,1630
40,60,5000,6420,1630
250,300,5000,6425,1630
80,190,5000,6430,1630
120,270,5000,6435,1630
40,200,5000,6440,1630
800,2200,5000,6445,1630
180,600,5000,6450,1630
280,1300,5000,6455,1630
20,120,5000,6345,1625
70,500,5000,6350,1625
270,900,5000,6355,1625
280,800,5000,6360,1625
70,500,5000,6365,1625
NA,NA,5000,6370,1625
20,40,5000,6390,1625
50,70,5000,6395,1625
20,20,5000,6400,1625
50,70,5000,6405,1625
50,130,5000,6410,1625
130,300,5000,6415,1625
170,190,5000,6420,1625
210,240,5000,6425,1625
70,130,5000,6430,1625
80,130,5000,6435,1625
280,700,5000,6440,1625
300,800,5000,6445,1625
50,100,5000,6450,1625
10,160,5000,6350,1620
70,1700,5000,6355,1620
140,500,5000,6360,1620
180,1100,5000,6365,1620
150,900,5000,6370,1620
80,700,5000,6375,1620
10,110,5000,6380,1620
30,120,5000,6385,1620
40,130,5000,6390,1620
70,500,5000,6395,1620
80,300,5000,6400,1620
140,400,5000,6405,1620
90,300,5000,6410,1620
50,130,5000,6415,1620
20,30,5000,6420,1620
50,70,5000,6425,1620
200,300,5000,6430,1620
120,400,5000,6435,1620
190,400,5000,6440,1620
160,280,5000,6445,1620
70,500,5000,6360,1615
200,1300,5000,6365,1615
100,700,5000,6370,1615
110,500,5000,6375,1615
50,300,5000,6380,1615
40,230,5000,6385,1615
70,300,5000,6390,1615
90,400,5000,6395,1615
40,160,5000,6400,1615
70,220,5000,6405,1615
110,500,5000,6410,1615
90,500,5000,6415,1615
60,130,5000,6420,1615
80,150,5000,6425,1615
230,500,5000,6430,1615
40,70,5000,6435,1615
NA,NA,5000,6440,1615
50,500,5000,6360,1610
140,900,5000,6365,1610
130,800,5000,6370,1610
150,900,5000,6375,1610
50,300,5000,6380,1610
30,250,5000,6385,1610
30,400,5000,6390,1610
130,900,5000,6395,1610
50,400,5000,6400,1610
40,170,5000,6405,1610
30,120,5000,6410,1610
80,190,5000,6415,1610
50,180,5000,6420,1610
10,20,5000,6425,1610
10,60,5000,6355,1605
500,600,5000,6360,1605
140,500,5000,6365,1605
80,300,5000,6370,1605
110,500,5000,6375,1605
120,700,5000,6380,1605
60,260,5000,6385,1605
70,600,5000,6390,1605
70,700,5000,6395,1605
50,240,5000,6400,1605
60,190,5000,6405,1605
280,500,5000,6410,1605
500,800,5000,6415,1605
10,10,5000,6420,1605
40,60,5000,6360,1600
300,600,5000,6365,1600
700,1000,5000,6370,1600
300,800,5000,6375,1600
60,270,5000,6380,1600
150,500,5000,6385,1600
40,190,5000,6390,1600
270,1000,5000,6395,1600
110,400,5000,6400,1600
140,230,5000,6405,1600
500,700,5000,6410,1600
500,500,5000,6415,1600
20,20,5000,6365,1595
220,290,5000,6370,1595
600,1100,5000,6375,1595
100,240,5000,6380,1595
40,50,5000,6385,1595
290,600,5000,6390,1595
30,80,5000,6395,1595
210,400,5000,6415,1595
150,1800,10000,6450,1650
10,20,10000,6370,1640
240,300,10000,6350,1630
300,1100,10000,6350,1610
800,7000,20000,6420,1660
110,110,20000,6500,1660
NA,NA,1000,2999,3553
0,300,5000,3160,3695
0,190,5000,3165,3695
0,400,5000,3170,3695
0,1200,5000,3175,3695
0,1100,5000,3190,3695
0,900,5000,3195,3695
0,1200,5000,3240,3695
0,1400,5000,3245,3695
0,1000,5000,3250,3695
0,600,5000,3160,3690
0,400,5000,3165,3690
0,500,5000,3170,3690
0,210,5000,3175,3690
0,800,5000,3190,3690
0,1000,5000,3195,3690
0,900,5000,3240,3690
0,500,5000,3245,3690
0,290,5000,3250,3690
0,800,5000,3160,3685
0,900,5000,3165,3685
0,1400,5000,3190,3685
0,1700,5000,3195,3685
0,700,5000,3160,3680
0,700,5000,3165,3680
0,1600,5000,3190,3680
0,1600,5000,3195,3680
0,900,5000,3030,3640
0,1200,5000,3035,3640
0,1600,5000,3080,3625
0,700,5000,3085,3625
0,800,5000,3095,3625
0,600,5000,3100,3625
0,1700,5000,3080,3620
0,400,5000,3085,3620
0,500,5000,3090,3620
0,2400,5000,3095,3620
0,1500,5000,3100,3620
0,900,5000,3105,3620
0,300,5000,3110,3620
0,1700,5000,3080,3615
0,1300,5000,3085,3615
0,2000,5000,3090,3615
0,2100,5000,3095,3615
0,1800,5000,3080,3610
0,1300,5000,3085,3610
0,1900,5000,3090,3610
0,1300,5000,3095,3610
0,1700,5000,3080,3605
0,1700,5000,3085,3605
0,1800,5000,3090,3605
0,700,5000,3095,3605
0,800,5000,3100,3605
0,1700,5000,3105,3605
0,600,5000,3110,3605
0,1400,5000,3115,3605
0,1500,5000,3080,3600
0,1000,5000,3085,3600
0,600,5000,3090,3600
0,700,5000,3095,3600
0,1200,5000,3100,3600
0,1100,5000,3105,3600
0,1800,5000,3110,3600
0,2600,5000,3115,3600
0,150,5000,3025,3595
0,160,5000,3030,3595
0,90,5000,3035,3595
0,900,5000,3050,3595
0,1400,5000,3055,3595
0,1300,5000,3060,3595
0,1300,5000,3065,3595
0,1100,5000,3070,3595
0,220,5000,3075,3595
0,2100,5000,3120,3595
0,1700,5000,3125,3595
0,1800,5000,3130,3595
0,1600,5000,3135,3595
0,1100,5000,3140,3595
0,600,5000,3145,3595
0,900,5000,3150,3595
0,1100,5000,3155,3595
0,1400,5000,3160,3595
0,1800,5000,3165,3595
0,1900,5000,3220,3595
0,2000,5000,3225,3595
0,600,5000,3020,3590
0,130,5000,3025,3590
0,900,5000,3050,3590
0,1400,5000,3055,3590
0,1100,5000,3060,3590
0,600,5000,3065,3590
0,900,5000,3070,3590
0,1000,5000,3075,3590
0,2200,5000,3120,3590
0,2400,5000,3125,3590
0,2400,5000,3130,3590
0,1500,5000,3135,3590
0,1500,5000,3140,3590
0,1200,5000,3145,3590
0,900,5000,3150,3590
0,1000,5000,3155,3590
0,1000,5000,3160,3590
0,700,5000,3165,3590
0,400,5000,3180,3590
0,2500,5000,3220,3590
0,2200,5000,3225,3590
0,1700,5000,3050,3585
0,1800,5000,3055,3585
0,1800,5000,3060,3585
0,900,5000,3065,3585
0,1700,5000,3070,3585
0,1500,5000,3075,3585
0,1700,5000,3120,3585
0,1600,5000,3125,3585
0,1400,5000,3130,3585
0,800,5000,3135,3585
0,1300,5000,3140,3585
0,1200,5000,3145,3585
0,1000,5000,3150,3585
0,1200,5000,3155,3585
0,1100,5000,3160,3585
0,900,5000,3165,3585
0,1200,5000,3170,3585
0,1200,5000,3175,3585
0,700,5000,3180,3585
0,260,5000,3185,3585
0,2000,5000,3210,3585
0,2500,5000,3215,3585
0,1600,5000,3220,3585
0,1200,5000,3225,3585
0,2000,5000,3230,3585
0,400,5000,3235,3585
0,1100,5000,3050,3580
0,1900,5000,3055,3580
0,1500,5000,3060,3580
0,1400,5000,3065,3580
0,1800,5000,3070,3580
0,1500,5000,3075,3580
0,1200,5000,3120,3580
0,1300,5000,3125,3580
0,1200,5000,3130,3580
0,800,5000,3135,3580
0,1400,5000,3140,3580
0,1100,5000,3145,3580
0,1600,5000,3150,3580
0,1500,5000,3155,3580
0,1200,5000,3160,3580
0,1700,5000,3165,3580
0,1600,5000,3170,3580
0,1800,5000,3175,3580
0,1800,5000,3180,3580
0,1600,5000,3185,3580
0,2400,5000,3210,3580
0,2400,5000,3215,3580
0,1900,5000,3220,3580
0,2400,5000,3225,3580
0,2100,5000,3230,3580
0,1000,5000,3235,3580
0,800,5000,3040,3575
0,1900,5000,3045,3575
0,1800,5000,3050,3575
0,1900,5000,3055,3575
0,1700,5000,3060,3575
0,2000,5000,3065,3575
0,1600,5000,3070,3575
0,1900,5000,3075,3575
0,1100,5000,3120,3575
0,1800,5000,3125,3575
0,1900,5000,3130,3575
0,2000,5000,3135,3575
0,2000,5000,3140,3575
0,1200,5000,3145,3575
0,1900,5000,3150,3575
0,1500,5000,3155,3575
0,1400,5000,3160,3575
0,1400,5000,3165,3575
0,1200,5000,3170,3575
0,1700,5000,3175,3575
0,1600,5000,3180,3575
0,1600,5000,3185,3575
0,1500,5000,3190,3575
0,1600,5000,3195,3575
0,1700,5000,3200,3575
0,2500,5000,3205,3575
0,2300,5000,3210,3575
