"SHEEP","res","x","y"
0,1000,4715,1450
0,1000,4730,1441
0,1000,4730,1440
0,1000,4731,1440
NA,5000,4700,1455
400,5000,4705,1455
500,5000,4700,1450
2600,5000,4705,1450
1500,5000,4710,1450
500,5000,4720,1440
500,5000,4725,1440
700,5000,4720,1435
2200,5000,4725,1435
500,5000,4730,1435
170,5000,4735,1435
700,5000,4720,1430
2200,5000,4725,1430
1900,5000,4730,1430
300,5000,4735,1430
NA,5000,4725,1425
NA,5000,4730,1425
900,10000,4710,1440
400,10000,4710,1430
0,1000,6473,1686
0,1000,6451,1675
0,1000,6500,1673
0,1000,6479,1672
0,1000,6479,1671
0,1000,6441,1670
0,1000,6477,1670
0,1000,6478,1670
0,1000,6501,1670
0,1000,6503,1670
0,1000,6502,1669
0,1000,6500,1668
0,1000,6419,1667
0,1000,6417,1666
0,1000,6418,1666
0,1000,6419,1666
0,1000,6417,1665
0,1000,6418,1665
0,1000,6410,1662
0,1000,6411,1662
0,1000,6412,1662
0,1000,6413,1662
0,1000,6414,1662
0,1000,6408,1661
0,1000,6409,1661
0,1000,6410,1661
0,1000,6411,1661
0,1000,6412,1661
0,1000,6413,1661
0,1000,6414,1661
0,1000,6407,1660
0,1000,6408,1660
0,1000,6409,1660
0,1000,6410,1660
0,1000,6411,1660
0,1000,6412,1660
0,1000,6413,1660
0,1000,6346,1631
0,1000,6355,1609
0,1000,6356,1609
0,1000,6358,1609
0,1000,6359,1609
2100,5000,6440,1665
NA,5000,6445,1665
2700,5000,6415,1660
6000,5000,6440,1660
NA,5000,6445,1660
6000,5000,6450,1660
13000,5000,6455,1660
NA,5000,6450,1655
NA,5000,6455,1655
NA,5000,6470,1655
13000,5000,6450,1650
NA,5000,6455,1650
7000,5000,6460,1645
NA,5000,6465,1645
7000,5000,6460,1640
NA,5000,6465,1640
NA,5000,6345,1625
2500,5000,6410,1605
4000,5000,6415,1605
NA,5000,6420,1605
4000,5000,6410,1600
NA,5000,6415,1600
NA,5000,6415,1595
11000,10000,6460,1660
13000,10000,6470,1660
1000,10000,6420,1650
9000,10000,6430,1650
11000,10000,6440,1650
21000,10000,6460,1650
NA,10000,6420,1640
2600,10000,6430,1640
2900,10000,6440,1640
14000,10000,6450,1640
NA,10000,6350,1630
7000,10000,6350,1620
2300,10000,6350,1610
1400,10000,6360,1610
4000,10000,6370,1610
1500,10000,6380,1610
3000,10000,6390,1610
2200,10000,6400,1610
1800,10000,6410,1610
2800,10000,6420,1610
1200,10000,6430,1610
NA,10000,6360,1600
10000,10000,6370,1600
9000,10000,6380,1600
10000,10000,6390,1600
3000,10000,6400,1600
8000,20000,6420,1660
40000,20000,6480,1660
13000,20000,6400,1640
8000,20000,6360,1620
NA,20000,6380,1620
400,20000,6400,1620
5000,20000,6420,1620
1300,20000,6360,1580
3000,20000,6380,1580
NA,40000,6360,1640
30000,40000,6440,1600
NA,1000,3189,3710
NA,1000,3250,3700
NA,1000,3129,3670
0,1000,3144,3649
0,1000,3145,3649
0,1000,3146,3649
0,1000,3143,3648
NA,1000,3080,3635
0,1000,3142,3635
0,1000,3143,3635
0,1000,3144,3635
0,1000,3086,3630
0,1000,3219,3602
0,1000,3218,3600
0,1000,3242,3580
0,1000,3245,3576
NA,1000,3245,3574
NA,1000,2999,3553
0,1000,3260,3537
0,1000,3261,3537
0,1000,3260,3536
0,1000,3261,3536
0,1000,3262,3536
0,1000,3260,3535
0,1000,3261,3535
0,1000,3260,3534
0,1000,3261,3534
0,1000,3260,3530
0,1000,3261,3529
0,1000,3260,3528
0,1000,3260,3527
0,1000,3260,3526
NA,1000,3242,3458
NA,1000,2934,3423
NA,1000,2945,3384
1600,5000,3230,3715
2200,5000,3235,3715
NA,5000,3190,3710
NA,5000,3220,3710
5000,5000,3230,3710
6000,5000,3235,3710
1000,5000,3240,3710
1100,5000,3170,3705
NA,5000,3175,3705
2400,5000,3180,3705
4000,5000,3185,3705
4000,5000,3190,3705
1700,5000,3195,3705
5000,5000,3220,3705
4000,5000,3225,3705
6000,5000,3230,3705
4000,5000,3235,3705
4000,5000,3240,3705
1700,5000,3170,3700
3000,5000,3175,3700
4000,5000,3180,3700
6000,5000,3185,3700
1400,5000,3190,3700
900,5000,3195,3700
5000,5000,3220,3700
5000,5000,3225,3700
8000,5000,3230,3700
6000,5000,3235,3700
7000,5000,3240,3700
3000,5000,3245,3700
2000,5000,3190,3695
2000,5000,3195,3695
3000,5000,3200,3695
2100,5000,3205,3695
5000,5000,3220,3695
7000,5000,3225,3695
4000,5000,3230,3695
5000,5000,3235,3695
6000,5000,3240,3695
6000,5000,3245,3695
4000,5000,3190,3690
3000,5000,3195,3690
4000,5000,3200,3690
7000,5000,3205,3690
4000,5000,3220,3690
4000,5000,3225,3690
6000,5000,3230,3690
8000,5000,3235,3690
2800,5000,3240,3690
1900,5000,3245,3690
2000,5000,3160,3685
3000,5000,3165,3685
4000,5000,3190,3685
5000,5000,3195,3685
8000,5000,3200,3685
5000,5000,3205,3685
NA,5000,3210,3685
5000,5000,3215,3685
8000,5000,3220,3685
5000,5000,3225,3685
3000,5000,3160,3680
1600,5000,3165,3680
4000,5000,3190,3680
6000,5000,3195,3680
5000,5000,3200,3680
1700,5000,3205,3680
1600,5000,3210,3680
8000,5000,3215,3680
5000,5000,3220,3680
2400,5000,3225,3680
NA,5000,3150,3675
1300,5000,3155,3675
1500,5000,3160,3675
2900,5000,3165,3675
2300,5000,3170,3675
2100,5000,3175,3675
4000,5000,3180,3675
6000,5000,3185,3675
5000,5000,3190,3675
2400,5000,3195,3675
3000,5000,3200,3675
4000,5000,3205,3675
NA,5000,3220,3675
2300,5000,3150,3670
2300,5000,3155,3670
3000,5000,3160,3670
8000,5000,3165,3670
4000,5000,3170,3670
5000,5000,3175,3670
5000,5000,3180,3670
5000,5000,3185,3670
5000,5000,3190,3670
3000,5000,3195,3670
6000,5000,3200,3670
5000,5000,3205,3670
4000,5000,3130,3665
5000,5000,3135,3665
4000,5000,3140,3665
5000,5000,3145,3665
5000,5000,3150,3665
4000,5000,3155,3665
2400,5000,3160,3665
5000,5000,3165,3665
7000,5000,3180,3665
4000,5000,3185,3665
4000,5000,3190,3665
5000,5000,3195,3665
14000,5000,3200,3665
3000,5000,3205,3665
3000,5000,3130,3660
5000,5000,3135,3660
2700,5000,3140,3660
4000,5000,3145,3660
2600,5000,3150,3660
3000,5000,3155,3660
4000,5000,3160,3660
4000,5000,3165,3660
6000,5000,3180,3660
4000,5000,3185,3660
4000,5000,3190,3660
4000,5000,3195,3660
5000,5000,3200,3660
2000,5000,3205,3660
3000,5000,3130,3655
6000,5000,3135,3655
4000,5000,3140,3655
2600,5000,3145,3655
4000,5000,3150,3655
3000,5000,3155,3655
3000,5000,3160,3655
5000,5000,3165,3655
2400,5000,3180,3655
5000,5000,3185,3655
2300,5000,3200,3655
NA,5000,3205,3655
NA,5000,3135,3650
1100,5000,3140,3650
1300,5000,3145,3650
1200,5000,3150,3650
2200,5000,3155,3650
1100,5000,3160,3650
3000,5000,3165,3650
1600,5000,3185,3650
2500,5000,3200,3650
900,5000,3160,3645
6000,5000,3165,3645
3000,5000,3030,3640
7000,5000,3035,3640
2700,5000,3160,3640
6000,5000,3165,3640
3000,5000,3180,3640
2600,5000,3185,3640
NA,5000,3190,3640
2700,5000,3040,3635
6000,5000,3045,3635
2300,5000,3050,3635
2100,5000,3055,3635
2200,5000,3070,3635
NA,5000,3075,3635
NA,5000,3145,3635
1800,5000,3150,3635
1900,5000,3155,3635
3000,5000,3040,3630
3000,5000,3045,3630
3000,5000,3050,3630
3000,5000,3055,3630
1400,5000,3070,3630
1500,5000,3075,3630
1300,5000,3080,3630
NA,5000,3125,3630
900,5000,3140,3630
2500,5000,3145,3630
500,5000,3150,3630
1300,5000,3155,3630
1400,5000,3040,3625
1600,5000,3045,3625
3000,5000,3050,3625
1900,5000,3055,3625
1100,5000,3080,3625
NA,5000,3085,3625
6000,5000,3130,3625
6000,5000,3135,3625
11000,5000,3140,3625
6000,5000,3145,3625
9000,5000,3150,3625
1900,5000,3155,3625
1200,5000,3040,3620
1500,5000,3045,3620
2800,5000,3050,3620
1400,5000,3055,3620
1300,5000,3080,3620
NA,5000,3085,3620
4000,5000,3130,3620
12000,5000,3135,3620
5000,5000,3140,3620
9000,5000,3145,3620
5000,5000,3150,3620
5000,5000,3155,3620
NA,5000,3160,3620
NA,5000,3020,3615
NA,5000,3030,3615
1100,5000,3035,3615
1000,5000,3070,3615
3000,5000,3075,3615
600,5000,3080,3615
1500,5000,3085,3615
3000,5000,3090,3615
1600,5000,3095,3615
2200,5000,3120,3615
4000,5000,3125,3615
3000,5000,3130,3615
5000,5000,3135,3615
9000,5000,3140,3615
9000,5000,3145,3615
4000,5000,3150,3615
4000,5000,3155,3615
1300,5000,3160,3615
1500,5000,3015,3610
7000,5000,3020,3610
3000,5000,3025,3610
1800,5000,3030,3610
1500,5000,3035,3610
2800,5000,3070,3610
2900,5000,3075,3610
1200,5000,3080,3610
1500,5000,3085,3610
