"GOATS","res","x","y"
0,1000,4715,1450
0,1000,4730,1441
0,1000,4730,1440
0,1000,4731,1440
NA,5000,4700,1455
NA,5000,4705,1455
NA,5000,4700,1450
1000,5000,4705,1450
400,5000,4710,1450
NA,5000,4725,1425
NA,5000,4730,1425
240,10000,4710,1440
220,10000,4720,1440
90,10000,4710,1430
2100,10000,4720,1430
1700,10000,4730,1430
0,1000,6473,1686
0,1000,6451,1675
0,1000,6500,1673
0,1000,6441,1670
0,1000,6501,1670
0,1000,6503,1670
0,1000,6502,1669
0,1000,6500,1668
0,1000,6346,1631
0,1000,6450,1629
0,1000,6453,1629
0,1000,6450,1628
0,1000,6451,1628
0,1000,6452,1628
0,1000,6453,1628
0,1000,6450,1627
0,1000,6451,1627
0,1000,6452,1627
0,1000,6450,1626
0,1000,6451,1626
0,1000,6450,1625
NA,5000,6475,1670
NA,5000,6470,1665
1400,5000,6475,1665
3000,5000,6450,1660
2100,5000,6455,1660
2500,5000,6470,1660
1400,5000,6475,1660
NA,5000,6470,1655
2200,5000,6460,1645
NA,5000,6465,1645
3000,5000,6460,1640
NA,5000,6465,1640
NA,5000,6345,1625
NA,5000,6440,1615
NA,5000,6355,1605
NA,5000,6420,1605
NA,5000,6415,1595
1100,10000,6480,1670
2300,10000,6490,1670
2800,10000,6440,1660
7000,10000,6460,1660
3000,10000,6480,1660
NA,10000,6490,1660
1700,10000,6420,1650
5000,10000,6430,1650
9000,10000,6440,1650
4000,10000,6450,1650
11000,10000,6460,1650
1000,10000,6420,1640
1200,10000,6430,1640
1600,10000,6440,1640
5000,10000,6450,1640
NA,10000,6350,1630
6000,10000,6440,1630
5000,10000,6450,1630
NA,10000,6460,1630
12000,10000,6350,1620
3000,10000,6440,1620
4000,10000,6350,1610
3000,10000,6360,1610
9000,10000,6370,1610
3000,10000,6380,1610
12000,10000,6390,1610
7000,10000,6400,1610
1900,10000,6410,1610
1300,10000,6420,1610
3000,10000,6430,1610
NA,10000,6360,1600
8000,10000,6370,1600
12000,10000,6380,1600
10000,10000,6390,1600
5000,10000,6400,1600
4000,10000,6410,1600
NA,20000,6400,1660
5000,20000,6420,1660
17000,20000,6400,1640
9000,20000,6360,1620
NA,20000,6380,1620
1200,20000,6400,1620
4000,20000,6420,1620
2100,20000,6360,1580
7000,20000,6380,1580
1900,40000,6360,1640
0,1000,3035,3644
0,1000,3037,3644
0,1000,3038,3644
0,1000,3032,3643
0,1000,3034,3643
0,1000,3035,3643
0,1000,3036,3643
0,1000,3038,3643
0,1000,3039,3643
0,1000,3032,3642
0,1000,3033,3642
0,1000,3034,3642
0,1000,3035,3642
0,1000,3037,3642
0,1000,3039,3642
0,1000,3031,3641
0,1000,3032,3641
0,1000,3033,3641
0,1000,3034,3641
0,1000,3035,3641
0,1000,3036,3641
0,1000,3037,3641
0,1000,3039,3641
0,1000,3030,3640
0,1000,3032,3640
0,1000,3034,3640
0,1000,3035,3640
0,1000,3036,3640
0,1000,3037,3640
0,1000,3039,3640
0,1000,2999,3575
0,1000,2999,3574
0,1000,2999,3568
0,1000,2999,3553
0,1000,3120,3359
0,1000,3122,3359
0,1000,3125,3359
0,1000,3126,3359
0,1000,3127,3359
0,1000,3128,3359
0,1000,3129,3359
0,1000,3174,3359
0,1000,3175,3359
0,1000,3197,3359
0,1000,3198,3359
0,1000,3199,3359
0,1000,3120,3358
0,1000,3121,3358
0,1000,3123,3358
0,1000,3124,3358
0,1000,3125,3358
0,1000,3174,3358
0,1000,3199,3358
0,1000,3120,3357
0,1000,3121,3357
0,1000,3122,3357
0,1000,3123,3357
0,1000,3124,3357
0,1000,3125,3357
0,1000,3126,3357
0,1000,3120,3356
0,1000,3121,3356
0,1000,3123,3356
0,1000,3125,3356
0,1000,3126,3356
0,1000,3127,3356
0,1000,3120,3355
0,1000,3121,3355
0,1000,3122,3355
0,1000,3123,3355
0,1000,3124,3355
0,1000,3126,3355
0,1000,3120,3354
0,1000,3121,3354
0,1000,3122,3354
0,1000,3123,3354
0,1000,3124,3354
0,1000,3197,3354
NA,20000,3140,3680
NA,20000,2940,3340
NA,20000,3200,3340
80,40000,3160,3680
30,40000,3200,3680
NA,40000,3240,3680
NA,40000,3040,3640
NA,40000,3120,3640
700,40000,3160,3640
NA,40000,3200,3640
NA,40000,3000,3600
300,40000,3040,3600
170,40000,3080,3600
200,40000,3120,3600
NA,40000,3160,3600
NA,40000,3200,3600
NA,40000,3000,3560
110,40000,3040,3560
180,40000,3080,3560
140,40000,3120,3560
90,40000,3160,3560
70,40000,3200,3560
NA,40000,3240,3560
NA,40000,3000,3520
290,40000,3040,3520
170,40000,3080,3520
400,40000,3120,3520
NA,40000,3160,3520
NA,40000,3200,3520
110,40000,3240,3520
NA,40000,3000,3480
250,40000,3040,3480
400,40000,3080,3480
NA,40000,3120,3480
140,40000,3160,3480
300,40000,3200,3480
NA,40000,3240,3480
NA,40000,2960,3440
NA,40000,3000,3440
400,40000,3040,3440
80,40000,3080,3440
260,40000,3120,3440
90,40000,3160,3440
270,40000,3200,3440
100,40000,3240,3440
NA,40000,2920,3400
170,40000,2960,3400
40,40000,3000,3400
400,40000,3040,3400
NA,40000,3080,3400
NA,40000,3120,3400
260,40000,3160,3400
500,40000,3200,3400
NA,40000,3240,3400
NA,40000,2920,3360
120,40000,2960,3360
140,40000,3000,3360
80,40000,3040,3360
60,40000,3080,3360
70,40000,3120,3360
100,40000,3160,3360
240,40000,3200,3360
170,40000,2960,3320
130,40000,3000,3320
NA,40000,3040,3320
NA,40000,3080,3320
0,1000,2862,5140
0,1000,2875,5139
0,1000,2853,5138
0,1000,2866,5138
0,1000,2877,5136
0,1000,2875,5135
0,1000,2868,5133
0,1000,2857,5131
0,1000,2860,5129
0,1000,2860,5128
0,1000,2881,5127
0,1000,2874,5126
0,1000,2860,5125
0,1000,2859,5124
0,1000,2873,5124
0,1000,2874,5124
0,1000,2863,5121
0,1000,2846,5119
0,1000,2854,5117
0,1000,2875,5117
0,1000,2848,5116
0,1000,2855,5115
0,1000,2848,5114
0,1000,2854,5114
0,1000,2855,5114
0,1000,2874,5114
0,1000,2853,5112
0,1000,2892,5112
0,1000,2856,5110
0,1000,2858,5110
0,1000,2830,5109
0,1000,2905,5107
0,1000,2903,5106
0,1000,2808,5105
0,1000,2845,5104
0,1000,2878,5104
0,1000,2891,5104
0,1000,2832,5103
0,1000,2808,5101
0,1000,2824,5096
0,1000,2894,5094
0,1000,2938,5093
0,1000,2806,5091
0,1000,2815,5091
0,1000,2807,5090
0,1000,2835,5090
0,1000,2937,5090
0,1000,2938,5088
0,1000,2942,5087
0,1000,2809,5083
0,1000,2825,5078
0,1000,2831,5078
0,1000,2835,5078
0,1000,2831,5077
0,1000,2836,5077
0,1000,2836,5075
0,1000,2843,5075
0,1000,2839,5073
0,1000,2843,5073
0,1000,2924,5065
0,1000,2878,5063
0,1000,3000,5063
0,1000,2929,5061
0,1000,2872,5057
0,1000,3000,5057
0,1000,2921,5056
0,1000,3000,5055
0,1000,2846,5054
0,1000,2875,5053
0,1000,2876,5051
0,1000,2920,5050
0,1000,2877,5049
0,1000,3035,5049
0,1000,2878,5048
0,1000,3026,5048
0,1000,3027,5048
0,1000,3023,5047
0,1000,2879,5046
0,1000,3024,5046
0,1000,3025,5046
0,1000,3035,5046
0,1000,3037,5046
0,1000,2922,5044
0,1000,3035,5044
0,1000,2922,5043
0,1000,3020,5041
0,1000,3020,5040
0,1000,3161,5036
0,1000,3185,5027
0,1000,3188,5023
0,1000,2796,5022
0,1000,2798,5022
0,1000,2792,5013
0,1000,2793,5013
0,1000,3184,5011
0,1000,2784,5010
0,1000,3182,5002
0,1000,3185,5002
0,1000,3183,5001
0,1000,3040,4959
0,1000,3079,4959
0,1000,3038,4958
0,1000,3036,4957
0,1000,3039,4957
0,1000,3037,4956
0,1000,3037,4955
0,1000,3036,4953
0,1000,3079,4953
0,1000,3217,4953
0,1000,3211,4951
0,1000,3143,4950
0,1000,3208,4949
0,1000,3202,4948
0,1000,3201,4947
0,1000,3077,4945
0,1000,3198,4940
0,1000,3194,4939
0,1000,3190,4937
0,1000,3191,4937
0,1000,3197,4937
0,1000,3184,4936
0,1000,3201,4935
0,1000,3202,4935
0,1000,3198,4934
0,1000,3199,4934
0,1000,3200,4934
0,1000,3198,4933
0,1000,3188,4931
0,1000,3185,4930
0,1000,3190,4929
0,1000,3183,4928
0,1000,3217,4927
0,1000,3215,4925
0,1000,3214,4924
0,1000,3219,4922
0,1000,2786,4921
0,1000,2785,4920
0,1000,2786,4920
0,1000,3213,4920
0,1000,3215,4920
0,1000,2783,4918
0,1000,2795,4906
0,1000,2796,4906
0,1000,3240,4901
0,1000,2785,4891
0,1000,2786,4891
0,1000,3139,4876
0,1000,3159,4865
0,1000,3155,4864
0,1000,3209,4839
0,1000,3218,4836
0,1000,3120,4809
0,1000,3123,4808
0,1000,2997,4804
0,1000,2994,4803
0,1000,3113,4803
0,1000,2948,4802
0,1000,2953,4802
0,1000,3116,4802
0,1000,3124,4802
