"POULTRY","res","x","y"
0,1000,4702,1455
0,1000,4703,1455
0,1000,4704,1455
NA,5000,4705,1455
500,5000,4700,1450
180000,5000,4705,1450
NA,5000,4730,1440
60000,5000,4720,1435
130000,5000,4725,1435
60000,5000,4720,1430
80000,5000,4725,1430
NA,5000,4725,1425
NA,5000,4730,1425
NA,10000,4710,1450
130000,10000,4710,1440
60000,10000,4720,1440
NA,10000,4710,1430
140000,10000,4730,1430
0,1000,6473,1686
0,1000,6346,1631
0,1000,6350,1630
NA,5000,6475,1670
700,5000,6355,1630
NA,5000,6345,1625
300,5000,6380,1615
400,5000,6385,1615
NA,5000,6440,1615
400,5000,6380,1610
240,5000,6385,1610
NA,5000,6415,1595
1500,10000,6460,1660
23000,10000,6470,1660
400,10000,6380,1630
500,10000,6390,1630
900,10000,6460,1630
1500,10000,6350,1620
160,10000,6380,1620
900,10000,6390,1620
1900,10000,6390,1610
1300,10000,6380,1600
2100,10000,6390,1600
230,10000,6380,1590
800,10000,6390,1590
190000,20000,6440,1660
190000,20000,6480,1660
NA,20000,6500,1660
4e+05,20000,6440,1640
1e+06,20000,6460,1640
3000,20000,6360,1620
4e+05,20000,6440,1620
2000,20000,6340,1600
120000,20000,6360,1600
1100,20000,6360,1580
NA,40000,6360,1640
1600000,40000,6400,1640
6e+05,40000,6400,1600
0,1000,3235,3597
0,1000,3235,3596
0,1000,3235,3593
0,1000,3011,3583
0,1000,3013,3583
0,1000,3014,3583
0,1000,3018,3583
0,1000,3011,3582
0,1000,3012,3582
0,1000,3013,3582
0,1000,2999,3575
0,1000,2999,3574
0,1000,2999,3568
0,1000,2999,3553
0,1000,3241,3418
0,1000,3240,3417
0,1000,3241,3417
0,1000,3240,3415
0,1000,3241,3415
0,1000,3240,3414
0,1000,3241,3414
0,1000,3240,3413
0,1000,3240,3412
0,1000,3174,3359
0,1000,3175,3359
0,1000,3197,3359
0,1000,3198,3359
0,1000,3199,3359
0,1000,3174,3358
0,1000,3199,3358
0,1000,3197,3354
5e+05,5000,3230,3595
3e+05,5000,3230,3590
7e+05,5000,3210,3585
4e+05,5000,3215,3585
8e+05,5000,3210,3580
240000,5000,3215,3580
NA,10000,3030,3640
4e+05,10000,3210,3590
1700000,10000,3220,3590
4e+05,10000,3200,3580
1100000,10000,3220,3580
4e+05,10000,3230,3580
290000,10000,3200,3570
5e+05,10000,3210,3570
4e+05,10000,3220,3570
4e+05,10000,3230,3570
150000,10000,3200,3560
4e+05,10000,3210,3560
3e+05,10000,3220,3560
3e+05,10000,3230,3560
290000,10000,3040,3430
NA,10000,3050,3430
7e+05,10000,3040,3420
90000,10000,3050,3420
NA,10000,3120,3350
NA,20000,3140,3680
300,20000,3040,3620
400,20000,3060,3620
NA,20000,3040,3600
500,20000,3060,3600
500,20000,3020,3580
210,20000,3000,3560
140,20000,3020,3560
240000,20000,3240,3540
NA,20000,3260,3540
2e+05,20000,3240,3520
NA,20000,3260,3520
NA,20000,3040,3500
400,20000,3060,3500
300,20000,3040,3480
1200,20000,3060,3480
400,20000,3040,3460
300,20000,3060,3460
500,20000,3080,3460
300,20000,3100,3460
3000,20000,3160,3460
1e+05,20000,3180,3460
300,20000,3040,3440
280,20000,3060,3440
800,20000,3080,3440
250,20000,3100,3440
400,20000,3160,3440
1000,20000,3180,3440
NA,20000,3060,3420
500,20000,3120,3420
290,20000,3140,3420
5000,20000,3240,3420
150000,20000,3040,3400
190,20000,3060,3400
2100,20000,3120,3400
900,20000,3140,3400
NA,20000,3040,3380
NA,20000,3060,3380
NA,20000,3040,3360
3e+05,20000,3060,3360
NA,20000,2940,3340
NA,20000,3200,3340
700,40000,3160,3680
NA,40000,3200,3680
NA,40000,3240,3680
NA,40000,3040,3640
1100,40000,3120,3640
NA,40000,3160,3640
600,40000,3200,3640
300,40000,3000,3600
1000,40000,3080,3600
NA,40000,3120,3600
NA,40000,3160,3600
9e+05,40000,3200,3600
NA,40000,3040,3560
NA,40000,3080,3560
NA,40000,3120,3560
210000,40000,3160,3560
NA,40000,3240,3560
500,40000,3000,3520
NA,40000,3040,3520
NA,40000,3080,3520
NA,40000,3120,3520
1e+05,40000,3160,3520
5e+05,40000,3200,3520
200,40000,3000,3480
8000,40000,3080,3480
NA,40000,3120,3480
70000,40000,3160,3480
220000,40000,3200,3480
3000,40000,3240,3480
NA,40000,2960,3440
NA,40000,3000,3440
NA,40000,3120,3440
26000,40000,3200,3440
8000,40000,3240,3440
120,40000,2920,3400
6000,40000,2960,3400
5e+05,40000,3000,3400
40000,40000,3080,3400
12000,40000,3160,3400
28000,40000,3200,3400
NA,40000,2920,3360
2000,40000,2960,3360
NA,40000,3000,3360
5e+05,40000,3080,3360
250000,40000,3120,3360
17000,40000,3160,3360
NA,40000,3200,3360
4000,40000,2960,3320
4e+05,40000,3000,3320
160000,40000,3040,3320
NA,40000,3080,3320
0,1000,2881,5127
0,1000,2846,5119
0,1000,2854,5117
0,1000,2875,5117
0,1000,2848,5116
0,1000,2855,5115
0,1000,2848,5114
0,1000,2854,5114
0,1000,2855,5114
0,1000,2874,5114
0,1000,2853,5112
0,1000,2892,5112
0,1000,2856,5110
0,1000,2858,5110
0,1000,2830,5109
0,1000,2905,5107
0,1000,2903,5106
0,1000,2808,5105
0,1000,2845,5104
0,1000,2878,5104
0,1000,2891,5104
0,1000,2832,5103
0,1000,2808,5101
0,1000,2824,5096
0,1000,2894,5094
0,1000,2938,5093
0,1000,2806,5091
0,1000,2815,5091
0,1000,2807,5090
0,1000,2835,5090
0,1000,2937,5090
0,1000,2938,5088
0,1000,2942,5087
0,1000,2809,5083
0,1000,2924,5065
0,1000,3000,5063
0,1000,2929,5061
0,1000,3000,5057
0,1000,2921,5056
0,1000,3000,5055
0,1000,2920,5050
0,1000,3035,5049
0,1000,3026,5048
0,1000,3027,5048
0,1000,3023,5047
0,1000,3024,5046
0,1000,3025,5046
0,1000,3035,5046
0,1000,3037,5046
0,1000,2922,5044
0,1000,3035,5044
0,1000,2922,5043
0,1000,3020,5041
0,1000,3020,5040
0,1000,3161,5036
0,1000,2879,5034
0,1000,2870,5033
0,1000,2878,5033
0,1000,2865,5032
0,1000,2864,5031
0,1000,3185,5027
0,1000,3188,5023
0,1000,2796,5022
0,1000,2798,5022
0,1000,2849,5017
0,1000,2862,5017
0,1000,2849,5016
0,1000,2863,5014
0,1000,2792,5013
0,1000,2793,5013
0,1000,2840,5012
0,1000,2868,5012
0,1000,2870,5012
0,1000,2874,5011
0,1000,2877,5011
0,1000,3184,5011
0,1000,2784,5010
0,1000,2856,5003
0,1000,2861,5002
0,1000,3182,5002
0,1000,3185,5002
0,1000,3183,5001
0,1000,3205,4999
0,1000,3210,4996
0,1000,3204,4984
0,1000,3205,4977
0,1000,3203,4974
0,1000,3211,4968
0,1000,3213,4967
0,1000,3038,4958
0,1000,3036,4957
0,1000,3039,4957
0,1000,3037,4956
0,1000,3037,4955
0,1000,3036,4953
0,1000,3143,4950
0,1000,3198,4940
0,1000,3194,4939
0,1000,3190,4937
0,1000,3191,4937
0,1000,3197,4937
0,1000,3184,4936
0,1000,3198,4934
0,1000,3199,4934
0,1000,3198,4933
0,1000,3188,4931
0,1000,3185,4930
0,1000,3190,4929
0,1000,3183,4928
0,1000,3141,4919
0,1000,3240,4901
0,1000,3145,4885
0,1000,3150,4885
0,1000,3144,4882
0,1000,2815,4877
0,1000,2816,4877
0,1000,2836,4876
0,1000,3139,4876
0,1000,3159,4865
0,1000,3155,4864
0,1000,3209,4839
0,1000,3218,4836
0,1000,3120,4809
0,1000,3123,4808
0,1000,3113,4803
0,1000,3116,4802
0,1000,3124,4802
0,1000,3145,4802
0,1000,3148,4802
0,1000,3115,4800
0,1000,3140,4800
0,1000,2948,4799
0,1000,2976,4799
0,1000,2980,4799
0,1000,2981,4799
0,1000,2985,4799
0,1000,2949,4798
0,1000,2974,4798
0,1000,2978,4798
0,1000,2985,4798
0,1000,2991,4797
0,1000,2950,4795
0,1000,2951,4795
0,1000,2969,4795
0,1000,2973,4795
0,1000,2949,4794
0,1000,2953,4794
0,1000,2977,4794
0,1000,2948,4792
0,1000,2951,4791
0,1000,2978,4790
0,1000,2977,4789
0,1000,2978,4789
0,1000,2973,4787
0,1000,2974,4786
0,1000,3040,4782
0,1000,2969,4781
0,1000,3045,4780
0,1000,2954,4778
0,1000,2920,4777
0,1000,2954,4777
0,1000,2968,4777
0,1000,2946,4776
0,1000,2959,4776
0,1000,2945,4775
0,1000,2960,4775
0,1000,2947,4774
0,1000,2957,4774
0,1000,2946,4773
0,1000,2946,4772
0,1000,2948,4772
0,1000,2956,4772
0,1000,2957,4772
NA,5000,2785,4920
NA,5000,3035,4790
NA,20000,2820,5060
NA,20000,3040,5040
NA,20000,3140,4980
NA,20000,3180,4980
NA,20000,2940,4800
NA,40000,2840,5120
NA,40000,2840,5040
NA,40000,2880,5040
NA,40000,2960,5040
NA,40000,2800,5000
NA,40000,2880,5000
NA,40000,2920,5000
NA,40000,2960,5000
NA,40000,3000,5000
NA,40000,3040,5000
NA,40000,3080,5000
NA,40000,3120,5000
NA,40000,2800,4960
NA,40000,2840,4960
NA,40000,2880,4960
NA,40000,2920,4960
NA,40000,2960,4960
NA,40000,3000,4960
NA,40000,3040,4960
NA,40000,3080,4960
NA,40000,2800,4920
NA,40000,2840,4920
NA,40000,2880,4920
NA,40000,3040,4920
NA,40000,3080,4920
NA,40000,3200,4920
NA,40000,2760,4880
NA,40000,2800,4880
NA,40000,2840,4880
NA,40000,2880,4880
NA,40000,3160,4880
NA,40000,3200,4880
220000,40000,2840,4840
NA,40000,2880,4840
NA,40000,3160,4840
NA,40000,3200,4840
NA,40000,2840,4800
NA,40000,2880,4800
NA,40000,2960,4800
NA,40000,3160,4800
NA,40000,2880,4760
NA,40000,3080,4760
NA,40000,3120,4760
0,1000,-2660,2524
0,1000,-2660,2523
0,1000,-2660,2521
0,1000,-2660,2519
0,1000,-2660,2508
0,1000,-2659,2508
0,1000,-2657,2507
0,1000,-2657,2506
0,1000,-2672,1001
0,1000,-2670,1001
0,1000,-2645,1000
0,1000,-2642,1000
0,1000,-2686,995
0,1000,-2690,994
0,1000,-2685,994
0,1000,-2690,993
0,1000,-2599,976
0,1000,-2706,974
0,1000,-2597,962
0,1000,-2596,962
0,1000,-2600,960
0,1000,-2598,960
0,1000,-2591,960
0,1000,-2710,954
0,1000,-2708,954
0,1000,-2711,953
0,1000,-2710,951
0,1000,-2717,944
0,1000,-2716,944
0,1000,-2721,920
0,1000,-2721,919
0,1000,-2722,916
0,1000,-2723,914
0,1000,-2723,913
0,1000,-2723,912
0,1000,-2727,905
0,1000,-2602,873
0,1000,-2720,820
0,1000,-2718,820
0,1000,-2518,801
0,1000,-2516,800
NA,1000,-2651,746
0,1000,-2512,731
0,1000,-2505,686
0,1000,-2527,651
NA,1000,-2637,628
NA,1000,-2593,627
NA,1000,8719,-2770
0,1000,10002,-3060
NA,1000,9968,-3076
NA,5000,-2545,830
NA,5000,8720,-2770
170000,5000,9980,-3045
40000,5000,9985,-3045
250000,5000,9980,-3050
NA,5000,9985,-3050
NA,5000,9975,-3060
NA,5000,10015,-3060
140,5000,9960,-3075
40000,5000,9965,-3075
1800,5000,9980,-3075
19000,5000,9985,-3075
120000,5000,9990,-3075
70000,5000,9995,-3075
NA,5000,10000,-3075
NA,5000,9980,-3080
NA,10000,-2610,2630
NA,10000,-2520,650
NA,10000,8730,-2770
2900,10000,8710,-2780
8000,10000,8720,-2780
30000,10000,8730,-2780
210000,10000,10000,-3030
NA,10000,9970,-3040
70000,10000,10000,-3040
70000,10000,10010,-3040
NA,10000,10020,-3040
1200,10000,9960,-3050
2e+05,10000,9970,-3050
NA,10000,9990,-3050
180000,10000,10000,-3050
240000,10000,9960,-3060
NA,10000,9980,-3060
240000,10000,9990,-3060
170000,10000,9960,-3070
16000,10000,9970,-3070
1e+05,10000,9980,-3070
180000,10000,9990,-3070
210000,10000,10000,-3070
NA,10000,10010,-3070
40000,10000,9970,-3080
NA,20000,-2620,2720
130000,20000,-2600,2700
60000,20000,-2600,2680
NA,20000,-2640,2660
7000,20000,-2620,2640
NA,20000,-2680,2540
90000,20000,-2680,2520
90000,20000,-2680,2500
260000,20000,-2680,2480
800,20000,-2680,2460
NA,20000,-2740,840
2700,20000,-2540,820
40000,20000,-2540,800
NA,20000,-2520,780
NA,20000,-2540,720
NA,20000,8740,-2780
120000,20000,8720,-2800
70000,20000,9980,-3040
NA,20000,10020,-3060
130000,40000,-2640,2680
3000,40000,-2600,2640
NA,40000,-2720,2480
NA,40000,-2640,1000
NA,40000,-2680,960
NA,40000,-2640,960
NA,40000,-2600,920
NA,40000,-2560,880
NA,40000,-2560,840
NA,40000,-2760,800
17000,40000,-2560,760
NA,40000,9920,-3080
0,1000,5018,5400
0,1000,4952,5385
0,1000,4832,5368
0,1000,4980,5367
0,1000,4980,5366
0,1000,5104,5357
0,1000,5102,5356
0,1000,4952,5350
0,1000,5005,5350
0,1000,5015,5350
0,1000,5016,5350
0,1000,5091,5350
0,1000,5015,5349
0,1000,5011,5348
0,1000,5002,5347
0,1000,5002,5346
0,1000,5002,5344
0,1000,5086,5343
0,1000,5086,5342
0,1000,5087,5342
0,1000,5001,5339
0,1000,5003,5336
0,1000,5002,5335
0,1000,5003,5335
0,1000,5005,5335
0,1000,4867,5333
0,1000,5004,5333
0,1000,4909,5332
0,1000,5004,5332
0,1000,5084,5332
0,1000,5003,5330
0,1000,5081,5329
0,1000,5001,5328
0,1000,5010,5328
0,1000,5011,5328
0,1000,5001,5327
0,1000,5004,5327
0,1000,5009,5327
0,1000,5008,5326
0,1000,5005,5325
0,1000,5008,5325
0,1000,5006,5323
0,1000,5026,5323
0,1000,5031,5323
0,1000,5032,5323
0,1000,5033,5323
0,1000,5036,5323
0,1000,5006,5322
0,1000,5007,5322
0,1000,5022,5322
0,1000,5034,5322
0,1000,5035,5322
0,1000,4885,5321
0,1000,5021,5321
0,1000,5024,5319
0,1000,5024,5316
0,1000,4903,5315
0,1000,5025,5315
0,1000,5009,5313
0,1000,4858,5312
0,1000,5009,5312
0,1000,5009,5311
0,1000,5009,5310
0,1000,4906,5309
0,1000,5008,5309
0,1000,4908,5308
0,1000,5009,5308
0,1000,4903,5307
0,1000,5002,5307
0,1000,5008,5307
0,1000,5000,5306
0,1000,5001,5306
0,1000,5008,5306
0,1000,4890,5305
0,1000,5000,5305
0,1000,5005,5305
0,1000,5006,5305
0,1000,4889,5304
0,1000,4889,5303
0,1000,4890,5303
0,1000,4893,5303
0,1000,4891,5301
0,1000,4889,5300
0,1000,4890,5299
0,1000,5073,5282
0,1000,4894,5280
0,1000,5064,5279
0,1000,5070,5279
0,1000,5093,5274
0,1000,5103,5267
0,1000,4966,5262
0,1000,5098,5261
0,1000,4722,5259
0,1000,4948,5258
0,1000,5096,5258
0,1000,5101,5258
