"HOLDING","FAM_FARM","res","x","y"
NA,NA,1000,4715,1450
10,10,5000,4700,1455
30,30,5000,4705,1455
60,60,5000,4700,1450
240,230,5000,4705,1450
120,120,5000,4710,1450
NA,NA,5000,4715,1445
300,300,5000,4715,1440
110,110,5000,4720,1440
60,50,5000,4725,1440
NA,NA,5000,4730,1440
120,120,5000,4715,1435
300,300,5000,4720,1435
280,270,5000,4725,1435
100,100,5000,4730,1435
40,40,5000,4735,1435
20,20,5000,4715,1430
100,100,5000,4720,1430
300,300,5000,4725,1430
220,220,5000,4730,1430
40,30,5000,4735,1430
NA,NA,5000,4725,1425
NA,NA,5000,4730,1425
NA,NA,1000,6473,1686
NA,NA,1000,6451,1675
NA,NA,1000,6441,1670
NA,NA,1000,6403,1658
NA,NA,1000,6364,1646
NA,NA,1000,6394,1645
30,20,1000,6367,1638
20,20,1000,6372,1632
0,0,1000,6346,1631
NA,NA,1000,6388,1631
NA,NA,1000,6404,1631
NA,NA,1000,6350,1630
50,40,1000,6379,1627
50,50,5000,6480,1675
10,10,5000,6485,1675
80,70,5000,6490,1675
NA,NA,5000,6495,1675
NA,NA,5000,6475,1670
80,80,5000,6480,1670
200,180,5000,6485,1670
300,300,5000,6490,1670
60,60,5000,6495,1670
20,20,5000,6415,1665
60,60,5000,6420,1665
10,10,5000,6425,1665
100,90,5000,6440,1665
NA,NA,5000,6445,1665
NA,NA,5000,6465,1665
NA,NA,5000,6470,1665
140,120,5000,6475,1665
210,180,5000,6480,1665
190,170,5000,6485,1665
40,30,5000,6490,1665
40,40,5000,6495,1665
40,30,5000,6405,1660
140,120,5000,6410,1660
150,140,5000,6415,1660
300,280,5000,6420,1660
120,110,5000,6425,1660
100,80,5000,6440,1660
30,20,5000,6445,1660
110,90,5000,6450,1660
120,90,5000,6455,1660
110,100,5000,6460,1660
70,60,5000,6465,1660
130,110,5000,6470,1660
180,160,5000,6475,1660
220,190,5000,6480,1660
50,40,5000,6485,1660
120,110,5000,6405,1655
270,230,5000,6410,1655
220,190,5000,6415,1655
50,40,5000,6420,1655
140,130,5000,6425,1655
190,170,5000,6430,1655
160,160,5000,6435,1655
60,50,5000,6440,1655
120,90,5000,6445,1655
NA,NA,5000,6450,1655
20,10,5000,6455,1655
50,50,5000,6460,1655
60,50,5000,6465,1655
NA,NA,5000,6470,1655
50,40,5000,6400,1650
190,180,5000,6405,1650
40,40,5000,6410,1650
70,70,5000,6415,1650
110,110,5000,6420,1650
150,150,5000,6425,1650
180,170,5000,6430,1650
90,80,5000,6435,1650
200,190,5000,6440,1650
150,140,5000,6445,1650
80,70,5000,6450,1650
20,10,5000,6455,1650
220,180,5000,6460,1650
50,40,5000,6465,1650
50,50,5000,6365,1645
160,150,5000,6395,1645
40,40,5000,6400,1645
120,110,5000,6405,1645
220,220,5000,6410,1645
60,60,5000,6415,1645
180,170,5000,6420,1645
40,40,5000,6425,1645
120,120,5000,6430,1645
260,250,5000,6435,1645
100,90,5000,6440,1645
140,130,5000,6445,1645
80,80,5000,6450,1645
150,140,5000,6455,1645
100,90,5000,6460,1645
NA,NA,5000,6465,1645
70,60,5000,6360,1640
10,10,5000,6365,1640
NA,NA,5000,6380,1640
30,30,5000,6390,1640
140,140,5000,6395,1640
40,40,5000,6400,1640
40,40,5000,6405,1640
20,20,5000,6410,1640
70,70,5000,6415,1640
90,90,5000,6420,1640
20,20,5000,6425,1640
10,10,5000,6430,1640
250,240,5000,6435,1640
50,40,5000,6440,1640
120,110,5000,6445,1640
40,40,5000,6450,1640
170,160,5000,6455,1640
220,180,5000,6460,1640
40,30,5000,6465,1640
90,90,5000,6360,1635
50,50,5000,6380,1635
20,20,5000,6385,1635
70,70,5000,6390,1635
30,30,5000,6395,1635
60,50,5000,6400,1635
150,140,5000,6405,1635
200,200,5000,6410,1635
180,170,5000,6415,1635
130,130,5000,6420,1635
40,40,5000,6425,1635
30,30,5000,6430,1635
50,50,5000,6435,1635
130,120,5000,6440,1635
20,20,5000,6445,1635
160,150,5000,6450,1635
180,170,5000,6455,1635
90,80,5000,6355,1630
60,60,5000,6360,1630
20,10,5000,6365,1630
20,20,5000,6390,1630
50,50,5000,6395,1630
300,300,5000,6405,1630
300,300,5000,6410,1630
100,100,5000,6415,1630
50,50,5000,6420,1630
160,140,5000,6425,1630
100,100,5000,6430,1630
80,80,5000,6435,1630
30,30,5000,6440,1630
250,220,5000,6445,1630
110,100,5000,6450,1630
130,120,5000,6455,1630
20,10,5000,6345,1625
70,70,5000,6350,1625
120,120,5000,6355,1625
160,150,5000,6360,1625
90,80,5000,6365,1625
NA,NA,5000,6370,1625
40,40,5000,6390,1625
80,80,5000,6395,1625
