"HOLDING","FLF_D_R_T_PERS","FLF_D_RFAM_T_PERS","FLF_D_RNFAM_T_PERS","res","x","y"
NA,NA,NA,NA,5000,4725,1425
NA,NA,NA,NA,5000,4730,1425
NA,NA,NA,NA,10000,4710,1430
1100,1500,1400,100,10000,4720,1430
400,700,600,50,10000,4730,1430
800,1300,1200,110,20000,4700,1440
180,260,230,30,20000,4720,1440
NA,NA,NA,NA,1000,6473,1686
NA,NA,NA,NA,1000,6451,1675
NA,NA,NA,NA,1000,6441,1670
NA,NA,NA,NA,5000,6475,1670
NA,NA,NA,NA,5000,6470,1665
140,400,260,140,5000,6475,1665
40,70,70,0,5000,6405,1660
110,300,190,110,5000,6450,1660
120,400,210,140,5000,6455,1660
130,290,210,80,5000,6470,1660
180,500,400,100,5000,6475,1660
60,270,120,150,5000,6440,1655
120,300,190,140,5000,6445,1655
NA,NA,NA,NA,5000,6470,1655
200,500,400,50,5000,6440,1650
150,300,290,40,5000,6445,1650
140,300,260,70,5000,6440,1625
130,400,270,100,5000,6445,1625
NA,NA,NA,NA,5000,6450,1625
60,140,110,20,5000,6440,1620
90,190,140,50,5000,6445,1620
NA,NA,NA,NA,5000,6440,1615
NA,NA,NA,NA,5000,6420,1605
NA,NA,NA,NA,5000,6365,1595
100,220,170,60,5000,6370,1595
160,400,300,70,5000,6375,1595
NA,NA,NA,NA,5000,6415,1595
NA,NA,NA,NA,10000,6430,1670
300,700,700,60,10000,6480,1670
500,1400,1100,300,10000,6490,1670
300,700,600,40,10000,6410,1660
500,1000,800,120,10000,6420,1660
150,300,260,80,10000,6430,1660
230,500,400,110,10000,6440,1660
180,500,400,40,10000,6460,1660
700,1600,1400,260,10000,6480,1660
NA,NA,NA,NA,10000,6490,1660
400,900,900,80,10000,6420,1650
600,1500,1300,190,10000,6430,1650
120,300,230,100,10000,6450,1650
400,1000,800,260,10000,6460,1650
300,600,600,50,10000,6420,1640
600,1500,1500,50,10000,6430,1640
400,900,900,60,10000,6440,1640
400,1100,1000,80,10000,6450,1640
400,900,700,190,10000,6460,1640
400,900,800,70,10000,6420,1630
270,700,600,50,10000,6430,1630
400,1000,900,90,10000,6440,1630
600,1500,1300,150,10000,6450,1630
NA,NA,NA,NA,10000,6460,1630
300,800,700,40,10000,6420,1620
400,900,700,130,10000,6430,1620
400,800,800,20,10000,6400,1610
500,1000,1000,20,10000,6410,1610
200,400,400,60,10000,6420,1610
180,400,300,70,10000,6430,1610
240,500,500,50,10000,6400,1600
800,1700,1400,280,10000,6410,1600
10,20,20,0,20000,6500,1660
1600,3000,3000,400,20000,6400,1640
1200,2300,2200,80,20000,6360,1620
700,1500,1400,100,20000,6380,1620
2500,6000,5000,120,20000,6400,1620
3000,6000,6000,400,20000,6360,1600
1700,4000,3000,220,20000,6380,1600
230,500,400,40,20000,6380,1580
600,1200,1100,50,40000,6360,1640
800,1500,1500,50,40000,6320,1600
NA,NA,NA,NA,10000,3030,3640
NA,NA,NA,NA,10000,3120,3350
NA,NA,NA,NA,20000,3140,3680
NA,NA,NA,NA,20000,3040,3640
NA,NA,NA,NA,20000,3220,3600
800,1600,1300,300,20000,3160,3460
600,1300,1000,280,20000,3180,3460
NA,NA,NA,NA,20000,2980,3440
600,1400,1100,300,20000,3160,3440
700,1600,1100,400,20000,3180,3440
800,1800,1600,240,20000,3120,3420
800,1900,1400,400,20000,3140,3420
NA,NA,NA,NA,20000,3240,3420
600,1100,800,270,20000,3120,3400
500,1300,1100,250,20000,3140,3400
900,1800,1400,400,20000,3080,3380
500,1200,1000,160,20000,3100,3380
700,1500,1100,400,20000,3080,3360
500,1100,700,300,20000,3100,3360
NA,NA,NA,NA,20000,2940,3340
NA,NA,NA,NA,20000,3200,3340
NA,NA,NA,NA,40000,3160,3680
2200,4000,4000,400,40000,3200,3680
NA,NA,NA,NA,40000,3240,3680
1600,2500,2400,200,40000,3120,3640
2100,4000,3000,400,40000,3160,3640
NA,NA,NA,NA,40000,3200,3640
NA,NA,NA,NA,40000,3000,3600
NA,NA,NA,NA,40000,3040,3600
2100,4000,4000,400,40000,3080,3600
2500,5000,5000,500,40000,3120,3600
500,1000,900,110,40000,3160,3600
NA,NA,NA,NA,40000,3000,3560
3000,7000,6000,400,40000,3040,3560
5000,9000,9000,700,40000,3080,3560
4000,7000,7000,400,40000,3120,3560
4000,7000,6000,800,40000,3160,3560
4000,8000,7000,900,40000,3200,3560
NA,NA,NA,NA,40000,3240,3560
NA,NA,NA,NA,40000,3000,3520
2800,6000,5000,600,40000,3040,3520
5000,10000,9000,700,40000,3080,3520
4000,8000,7000,700,40000,3120,3520
4000,7000,7000,800,40000,3160,3520
4000,9000,7000,1500,40000,3200,3520
1600,4000,3000,400,40000,3240,3520
NA,NA,NA,NA,40000,3000,3480
2100,4000,4000,400,40000,3040,3480
3000,7000,7000,600,40000,3080,3480
2700,6000,6000,600,40000,3120,3480
2900,6000,6000,800,40000,3160,3480
2200,5000,4000,700,40000,3200,3480
600,1700,1300,500,40000,3240,3480
2700,6000,5000,700,40000,3000,3440
3000,7000,6000,700,40000,3040,3440
2200,5000,4000,400,40000,3080,3440
2100,5000,4000,600,40000,3120,3440
1800,4000,3000,700,40000,3200,3440
NA,NA,NA,NA,40000,3240,3440
NA,NA,NA,NA,40000,2920,3400
1800,4000,3000,400,40000,2960,3400
3000,6000,6000,600,40000,3000,3400
3000,7000,5000,1200,40000,3040,3400
3000,7000,6000,900,40000,3080,3400
2600,6000,5000,1100,40000,3160,3400
2900,6000,5000,1100,40000,3200,3400
NA,NA,NA,NA,40000,2920,3360
1700,4000,4000,300,40000,2960,3360
2600,6000,5000,700,40000,3000,3360
2400,6000,5000,1000,40000,3040,3360
1600,4000,3000,900,40000,3120,3360
2800,6000,5000,800,40000,3160,3360
1400,3000,2400,800,40000,3200,3360
1300,2800,2600,220,40000,2960,3320
2100,4000,4000,500,40000,3000,3320
1300,3000,2500,1000,40000,3040,3320
900,1900,1500,400,40000,3080,3320
NA,NA,NA,NA,1000,2881,5127
NA,NA,NA,NA,1000,3143,4950
NA,NA,NA,NA,1000,3240,4901
NA,NA,NA,NA,5000,2785,4920
NA,NA,NA,NA,5000,3035,4790
NA,NA,NA,NA,10000,3030,4950
NA,NA,NA,NA,10000,3110,4800
NA,NA,NA,NA,10000,3040,4780
NA,NA,NA,NA,20000,2820,5060
NA,NA,NA,NA,20000,3040,5040
NA,NA,NA,NA,20000,3140,4980
NA,NA,NA,NA,20000,3180,4980
NA,NA,NA,NA,20000,3200,4820
NA,NA,NA,NA,20000,2940,4800
NA,NA,NA,NA,40000,2840,5120
NA,NA,NA,NA,40000,2800,5080
NA,NA,NA,NA,40000,2840,5080
NA,NA,NA,NA,40000,2880,5080
NA,NA,NA,NA,40000,2920,5080
NA,NA,NA,NA,40000,2840,5040
NA,NA,NA,NA,40000,2880,5040
NA,NA,NA,NA,40000,2920,5040
NA,NA,NA,NA,40000,2960,5040
NA,NA,NA,NA,40000,3000,5040
NA,NA,NA,NA,40000,2760,5000
NA,NA,NA,NA,40000,2800,5000
NA,NA,NA,NA,40000,2840,5000
60,70,50,20,40000,2880,5000
80,100,80,30,40000,2920,5000
100,120,90,30,40000,2960,5000
70,90,60,30,40000,3000,5000
80,100,70,30,40000,3040,5000
NA,NA,NA,NA,40000,3080,5000
NA,NA,NA,NA,40000,3120,5000
NA,NA,NA,NA,40000,3160,5000
NA,NA,NA,NA,40000,2800,4960
NA,NA,NA,NA,40000,2840,4960
NA,NA,NA,NA,40000,2880,4960
NA,NA,NA,NA,40000,2920,4960
NA,NA,NA,NA,40000,2960,4960
NA,NA,NA,NA,40000,3000,4960
130,190,110,80,40000,3040,4960
70,90,60,30,40000,3080,4960
NA,NA,NA,NA,40000,3200,4960
40,50,30,20,40000,2800,4920
120,140,100,50,40000,2840,4920
NA,NA,NA,NA,40000,2880,4920
NA,NA,NA,NA,40000,3040,4920
NA,NA,NA,NA,40000,3080,4920
NA,NA,NA,NA,40000,3160,4920
NA,NA,NA,NA,40000,3200,4920
NA,NA,NA,NA,40000,2760,4880
NA,NA,NA,NA,40000,2800,4880
NA,NA,NA,NA,40000,2840,4880
40,60,40,30,40000,2880,4880
NA,NA,NA,NA,40000,3120,4880
NA,NA,NA,NA,40000,3160,4880
50,70,50,20,40000,3200,4880
NA,NA,NA,NA,40000,2800,4840
180,260,150,110,40000,2840,4840
100,200,70,130,40000,2880,4840
NA,NA,NA,NA,40000,3120,4840
NA,NA,NA,NA,40000,3160,4840
NA,NA,NA,NA,40000,3200,4840
70,80,60,30,40000,2840,4800
40,50,30,20,40000,2880,4800
NA,NA,NA,NA,40000,2960,4800
NA,NA,NA,NA,40000,3120,4800
NA,NA,NA,NA,40000,3160,4800
NA,NA,NA,NA,40000,2880,4760
NA,NA,NA,NA,40000,2920,4760
NA,NA,NA,NA,40000,2960,4760
NA,NA,NA,NA,40000,3080,4760
NA,NA,NA,NA,40000,3120,4760
NA,NA,NA,NA,1000,-2670,2523
20,90,50,40,1000,-2677,999
100,500,250,230,1000,-2675,999
400,1600,900,600,1000,-2646,999
NA,NA,NA,NA,1000,-2678,998
100,500,260,240,1000,-2677,998
400,1400,900,500,1000,-2680,997
20,90,50,40,1000,-2679,997
