"HOLDING","AWU","AWU_FAM","AWU_NFAM","AWU_WORKER","res","x","y"
NA,NA,NA,NA,NA,5000,4725,1425
NA,NA,NA,NA,NA,5000,4730,1425
NA,NA,NA,NA,NA,10000,4710,1430
1100,900,800,80,20,10000,4720,1430
400,400,400,30,10,10000,4730,1430
800,900,700,90,20,20000,4700,1440
180,170,140,30,0,20000,4720,1440
NA,NA,NA,NA,NA,1000,6473,1686
NA,NA,NA,NA,NA,1000,6451,1675
NA,NA,NA,NA,NA,1000,6441,1670
NA,NA,NA,NA,NA,5000,6475,1670
NA,NA,NA,NA,NA,5000,6470,1665
140,250,100,130,20,5000,6475,1665
40,20,10,0,0,5000,6405,1660
110,160,50,110,0,5000,6450,1660
120,200,60,140,0,5000,6455,1660
130,150,70,80,0,5000,6470,1660
180,200,100,90,10,5000,6475,1660
60,170,30,140,0,5000,6440,1655
120,180,50,130,0,5000,6445,1655
NA,NA,NA,NA,NA,5000,6470,1655
200,120,70,50,0,5000,6440,1650
150,90,50,40,0,5000,6445,1650
140,130,60,60,10,5000,6440,1625
130,200,100,90,10,5000,6445,1625
NA,NA,NA,NA,NA,5000,6450,1625
60,60,30,20,0,5000,6440,1620
90,90,40,40,0,5000,6445,1620
NA,NA,NA,NA,NA,5000,6440,1615
NA,NA,NA,NA,NA,5000,6420,1605
NA,NA,NA,NA,NA,5000,6365,1595
100,90,40,50,0,5000,6370,1595
160,190,110,60,20,5000,6375,1595
NA,NA,NA,NA,NA,5000,6415,1595
NA,NA,NA,NA,NA,10000,6430,1670
300,300,230,60,20,10000,6480,1670
500,700,400,280,30,10000,6490,1670
300,180,140,30,20,10000,6410,1660
500,300,180,100,10,10000,6420,1660
150,130,60,70,10,10000,6430,1660
230,210,100,110,0,10000,6440,1660
180,150,110,40,10,10000,6460,1660
700,800,500,240,80,10000,6480,1660
NA,NA,NA,NA,NA,10000,6490,1660
400,270,180,70,10,10000,6420,1650
600,500,280,170,30,10000,6430,1650
120,150,60,90,0,10000,6450,1650
400,400,190,250,10,10000,6460,1650
300,160,110,40,10,10000,6420,1640
600,290,230,40,20,10000,6430,1640
400,200,150,40,10,10000,6440,1640
400,300,250,70,10,10000,6450,1640
400,400,230,170,20,10000,6460,1640
400,300,230,60,50,10000,6420,1630
270,170,110,50,10,10000,6430,1630
400,300,240,80,30,10000,6440,1630
600,500,300,150,20,10000,6450,1630
NA,NA,NA,NA,NA,10000,6460,1630
300,200,160,30,10,10000,6420,1620
400,260,130,110,20,10000,6430,1620
400,170,140,10,10,10000,6400,1610
500,200,170,10,20,10000,6410,1610
200,110,70,40,10,10000,6420,1610
180,150,80,60,10,10000,6430,1610
240,160,110,40,10,10000,6400,1600
800,500,280,230,40,10000,6410,1600
NA,NA,NA,NA,NA,20000,6500,1660
1600,1200,700,400,70,20000,6400,1640
1200,600,500,70,70,20000,6360,1620
700,300,230,70,30,20000,6380,1620
2500,1100,900,80,70,20000,6400,1620
3000,1800,1300,300,130,20000,6360,1600
1700,900,700,170,80,20000,6380,1600
230,150,100,30,10,20000,6380,1580
600,300,230,50,20,40000,6360,1640
800,500,400,40,60,40000,6320,1600
NA,NA,NA,NA,NA,10000,3030,3640
NA,NA,NA,NA,NA,10000,3120,3350
NA,NA,NA,NA,NA,20000,3140,3680
NA,NA,NA,NA,NA,20000,3040,3640
NA,NA,NA,NA,NA,20000,3220,3600
NA,NA,NA,NA,NA,20000,2980,3440
800,1100,900,150,70,20000,3120,3420
800,1200,800,220,120,20000,3140,3420
NA,NA,NA,NA,NA,20000,3240,3420
600,800,600,150,60,20000,3120,3400
500,900,600,180,50,20000,3140,3400
NA,NA,NA,NA,NA,20000,2940,3340
NA,NA,NA,NA,NA,20000,3200,3340
NA,NA,NA,NA,NA,40000,3160,3680
2200,2600,2300,190,90,40000,3200,3680
NA,NA,NA,NA,NA,40000,3240,3680
NA,NA,NA,NA,NA,40000,3120,3640
NA,NA,NA,NA,NA,40000,3160,3640
700,1000,800,160,70,40000,3200,3640
NA,NA,NA,NA,NA,40000,3000,3600
NA,NA,NA,NA,NA,40000,3040,3600
2100,2400,2100,190,90,40000,3080,3600
2500,2700,2400,160,100,40000,3120,3600
NA,NA,NA,NA,NA,40000,3160,3600
NA,NA,NA,NA,NA,40000,3000,3560
3000,4000,3000,130,140,40000,3040,3560
5000,5000,5000,300,300,40000,3080,3560
4000,4000,4000,130,190,40000,3120,3560
4000,4000,3000,400,170,40000,3160,3560
4000,4000,4000,400,210,40000,3200,3560
NA,NA,NA,NA,NA,40000,3240,3560
NA,NA,NA,NA,NA,40000,3000,3520
2800,3000,2900,270,160,40000,3040,3520
5000,5000,5000,300,210,40000,3080,3520
4000,4000,4000,230,240,40000,3120,3520
4000,4000,4000,280,190,40000,3160,3520
4000,5000,4000,600,290,40000,3200,3520
1600,2100,1800,210,120,40000,3240,3520
NA,NA,NA,NA,NA,40000,3000,3480
2100,2500,2300,160,110,40000,3040,3480
3000,4000,4000,230,190,40000,3080,3480
2700,3000,3000,210,200,40000,3120,3480
2900,4000,3000,400,160,40000,3160,3480
2200,2800,2300,400,160,40000,3200,3480
600,1200,800,300,50,40000,3240,3480
