"HOLDING","Y_LT40","Y_GE65","AGE","res","x","y"
NA,NA,NA,NA,1000,4715,1450
NA,NA,NA,NA,5000,4700,1455
140,10,60,57.1,5000,4705,1455
200,20,60,55,5000,4700,1450
900,110,300,55.6,5000,4705,1450
400,40,150,55,5000,4710,1450
800,90,300,62.5,5000,4720,1435
900,80,300,55.6,5000,4725,1435
240,30,90,58.3,5000,4720,1430
1200,110,400,58.3,5000,4725,1430
NA,NA,NA,NA,5000,4725,1425
NA,NA,NA,NA,5000,4730,1425
700,60,220,57.1,10000,4710,1440
270,40,80,55.6,10000,4710,1430
1300,120,500,61.5,10000,4730,1430
500,40,160,56,20000,4720,1440
NA,NA,NA,NA,1000,6473,1686
NA,NA,NA,NA,1000,6451,1675
NA,NA,NA,NA,1000,6420,1670
NA,NA,NA,NA,1000,6441,1670
NA,NA,NA,NA,1000,6372,1632
NA,NA,NA,NA,5000,6475,1670
NA,NA,NA,NA,5000,6470,1665
180,10,60,61.1,5000,6475,1665
50,0,30,60,5000,6405,1660
190,20,80,57.9,5000,6470,1660
240,10,90,58.3,5000,6475,1660
NA,NA,NA,NA,5000,6470,1655
200,20,70,60,5000,6370,1615
190,10,80,63.2,5000,6375,1615
270,10,90,59.3,5000,6370,1610
200,10,80,60,5000,6375,1610
NA,NA,NA,NA,5000,6355,1605
NA,NA,NA,NA,5000,6420,1605
20,0,10,55,5000,6365,1595
NA,NA,NA,NA,5000,6415,1595
NA,NA,NA,NA,10000,6430,1670
400,20,190,60,10000,6410,1660
700,30,400,57.1,10000,6420,1660
250,10,140,64,10000,6430,1660
300,30,150,63.3,10000,6440,1660
300,30,120,66.7,10000,6450,1660
220,20,90,59.1,10000,6460,1660
500,20,280,60,10000,6400,1650
900,60,400,55.6,10000,6410,1650
700,20,300,57.1,10000,6420,1650
1000,40,500,60,10000,6430,1650
900,40,400,66.7,10000,6440,1650
190,20,70,57.9,10000,6450,1650
600,30,260,66.7,10000,6460,1650
300,10,170,70,10000,6400,1640
500,10,260,60,10000,6410,1640
500,10,270,60,10000,6420,1640
900,20,400,55.6,10000,6430,1640
600,20,300,66.7,10000,6440,1640
600,40,270,66.7,10000,6450,1640
500,30,230,60,10000,6460,1640
230,10,80,60.9,10000,6360,1630
600,20,300,66.7,10000,6400,1630
900,30,500,66.7,10000,6410,1630
500,30,210,58,10000,6420,1630
400,20,180,57.5,10000,6430,1630
700,40,260,57.1,10000,6360,1620
400,40,150,62.5,10000,6370,1620
700,20,400,57.1,10000,6400,1620
700,20,300,57.1,10000,6410,1620
