"HOLDING","BASIC","FULL","PRACT","res","x","y"
10,0,0,10,5000,4725,1425
NA,NA,NA,NA,5000,4730,1425
NA,NA,NA,NA,10000,4710,1430
3000,700,60,2400,10000,4720,1430
1300,230,20,1100,10000,4730,1430
2400,400,20,1900,20000,4700,1440
500,70,10,400,20000,4720,1440
NA,NA,NA,NA,1000,6473,1686
NA,NA,NA,NA,5000,6415,1595
2300,500,20,1800,20000,6480,1660
NA,NA,NA,NA,20000,6500,1660
1400,500,10,800,20000,6360,1620
900,400,20,500,20000,6380,1620
4000,1200,50,2500,20000,6360,1600
2000,800,20,1200,20000,6380,1600
1000,250,10,700,40000,6360,1640
7000,2200,80,4000,40000,6400,1640
5000,700,40,4000,40000,6440,1640
900,300,10,600,40000,6320,1600
8000,2900,90,5000,40000,6400,1600
2000,280,20,1700,40000,6440,1600
600,230,20,400,40000,6360,1560
NA,NA,NA,NA,1000,3189,3710
NA,NA,NA,NA,1000,2999,3553
NA,NA,NA,NA,1000,2999,3460
NA,NA,NA,NA,1000,2934,3423
NA,NA,NA,NA,5000,3190,3710
NA,NA,NA,NA,5000,3220,3710
NA,NA,NA,NA,5000,3220,3675
NA,NA,NA,NA,5000,3015,3610
NA,NA,NA,NA,5000,3215,3600
80,20,10,50,5000,3120,3595
70,10,10,40,5000,3125,3595
100,10,20,70,5000,3220,3595
90,10,20,60,5000,3225,3595
80,10,10,50,5000,3120,3590
80,20,20,40,5000,3125,3590
100,10,20,60,5000,3220,3590
60,20,20,20,5000,3225,3590
70,20,10,40,5000,3210,3585
90,20,20,60,5000,3215,3585
90,10,20,50,5000,3210,3580
80,20,20,40,5000,3215,3580
90,10,10,60,5000,3070,3575
80,10,20,50,5000,3075,3575
70,20,10,40,5000,3200,3575
90,10,20,50,5000,3205,3575
60,20,10,20,5000,3210,3575
50,10,20,20,5000,3215,3575
100,20,20,60,5000,3230,3575
90,10,20,60,5000,3235,3575
90,20,10,60,5000,3070,3570
80,10,20,50,5000,3075,3570
80,20,20,30,5000,3200,3570
70,10,20,40,5000,3205,3570
60,10,20,30,5000,3210,3570
50,10,10,30,5000,3215,3570
100,20,30,60,5000,3230,3570
70,10,10,50,5000,3235,3570
80,10,10,50,5000,3070,3565
60,10,20,30,5000,3075,3565
70,10,20,40,5000,3090,3565
70,10,10,40,5000,3095,3565
50,20,10,20,5000,3190,3565
70,10,10,50,5000,3195,3565
60,10,20,30,5000,3210,3565
80,20,20,50,5000,3215,3565
80,10,20,50,5000,3220,3565
80,20,10,50,5000,3225,3565
100,20,20,60,5000,3230,3565
120,20,20,80,5000,3235,3565
70,10,10,50,5000,3070,3560
80,20,10,50,5000,3075,3560
80,20,20,40,5000,3090,3560
80,10,10,50,5000,3095,3560
70,10,10,50,5000,3190,3560
90,20,10,70,5000,3195,3560
80,20,10,40,5000,3210,3560
70,10,20,30,5000,3215,3560
80,20,20,40,5000,3220,3560
80,20,20,50,5000,3225,3560
110,10,20,70,5000,3230,3560
120,10,20,80,5000,3235,3560
80,20,20,50,5000,3120,3555
70,10,10,50,5000,3125,3555
70,10,10,40,5000,3190,3555
100,20,20,60,5000,3195,3555
90,20,20,60,5000,3240,3555
70,20,10,40,5000,3245,3555
80,20,10,50,5000,3120,3550
70,10,10,40,5000,3125,3550
80,20,10,50,5000,3190,3550
70,20,20,40,5000,3195,3550
70,10,20,40,5000,3240,3550
50,20,10,20,5000,3245,3550
70,20,10,50,5000,3210,3545
60,10,20,40,5000,3215,3545
70,10,10,50,5000,3230,3545
60,10,10,40,5000,3235,3545
70,10,10,50,5000,3210,3540
70,20,30,30,5000,3215,3540
70,10,10,40,5000,3230,3540
60,10,20,30,5000,3235,3540
70,10,10,40,5000,3070,3535
80,10,20,50,5000,3075,3535
80,10,10,60,5000,3070,3530
80,10,20,50,5000,3075,3530
60,10,20,30,5000,3090,3505
70,10,20,40,5000,3095,3505
70,10,10,50,5000,3090,3500
60,10,20,30,5000,3095,3500
NA,NA,NA,NA,5000,3015,3470
50,20,10,20,5000,3130,3455
70,20,10,30,5000,3135,3455
60,20,20,20,5000,3130,3450
60,20,20,20,5000,3135,3450
50,10,20,20,5000,3170,3445
40,10,10,20,5000,3175,3445
50,10,10,20,5000,3170,3440
60,10,10,30,5000,3175,3440
60,10,20,30,5000,3000,3435
50,10,10,20,5000,3005,3435
50,10,10,20,5000,3110,3435
60,10,10,30,5000,3115,3435
60,20,20,30,5000,3120,3435
50,20,10,20,5000,3125,3435
50,10,10,30,5000,3210,3435
40,10,20,20,5000,3215,3435
NA,NA,NA,NA,5000,2955,3430
60,10,20,30,5000,3000,3430
40,10,10,20,5000,3005,3430
40,10,10,10,5000,3110,3430
60,10,20,30,5000,3115,3430
60,10,20,30,5000,3120,3430
40,10,20,10,5000,3125,3430
50,10,10,20,5000,3210,3430
60,20,20,30,5000,3215,3430
70,20,20,40,5000,3020,3425
60,20,20,30,5000,3025,3425
40,10,20,10,5000,3060,3425
40,10,10,20,5000,3065,3425
40,10,10,20,5000,3070,3425
50,10,10,20,5000,3075,3425
70,20,10,40,5000,3100,3425
50,10,20,20,5000,3105,3425
60,20,10,30,5000,3180,3425
40,10,10,20,5000,3185,3425
70,20,10,40,5000,3020,3420
60,20,20,30,5000,3025,3420
60,20,10,30,5000,3060,3420
40,10,20,20,5000,3065,3420
50,10,20,20,5000,3070,3420
60,20,10,30,5000,3075,3420
60,20,10,30,5000,3100,3420
50,20,10,20,5000,3105,3420
40,10,10,20,5000,3180,3420
40,10,10,10,5000,3185,3420
NA,NA,NA,NA,5000,2935,3415
50,10,20,20,5000,3070,3415
40,10,10,20,5000,3075,3415
