"HOLDING","Female","Male","res","x","y"
NA,NA,NA,1000,4715,1450
NA,NA,NA,5000,4700,1455
140,10,120,5000,4705,1455
200,10,190,5000,4700,1450
900,100,800,5000,4705,1450
400,40,300,5000,4710,1450
270,30,240,5000,4720,1440
200,20,180,5000,4725,1440
NA,NA,NA,5000,4730,1440
800,110,700,5000,4720,1435
900,110,800,5000,4725,1435
240,20,220,5000,4720,1430
1200,160,1000,5000,4725,1430
10,0,10,5000,4725,1425
NA,NA,NA,5000,4730,1425
700,70,600,10000,4710,1440
270,30,240,10000,4710,1430
1300,110,1200,10000,4730,1430
NA,NA,NA,1000,6473,1686
NA,NA,NA,1000,6451,1675
NA,NA,NA,1000,6420,1670
NA,NA,NA,1000,6441,1670
NA,NA,NA,1000,6396,1650
NA,NA,NA,1000,6394,1645
NA,NA,NA,1000,6372,1632
NA,NA,NA,1000,6346,1631
NA,NA,NA,1000,6388,1631
NA,NA,NA,1000,6404,1631
150,10,140,5000,6490,1675
10,0,10,5000,6495,1675
NA,NA,NA,5000,6475,1670
500,60,400,5000,6490,1670
100,10,90,5000,6495,1670
70,20,50,5000,6420,1665
NA,NA,NA,5000,6425,1665
NA,NA,NA,5000,6465,1665
NA,NA,NA,5000,6470,1665
180,20,160,5000,6475,1665
400,80,400,5000,6420,1660
180,40,130,5000,6425,1660
150,20,140,5000,6450,1660
170,20,150,5000,6455,1660
140,20,120,5000,6460,1660
80,10,70,5000,6465,1660
190,10,180,5000,6470,1660
240,30,210,5000,6475,1660
NA,NA,NA,5000,6400,1655
190,60,130,5000,6405,1655
400,80,300,5000,6410,1655
290,70,230,5000,6415,1655
300,60,250,5000,6430,1655
270,80,190,5000,6435,1655
120,20,100,5000,6440,1655
190,40,150,5000,6445,1655
NA,NA,NA,5000,6470,1655
70,20,50,5000,6400,1650
270,80,180,5000,6405,1650
60,10,50,5000,6410,1650
110,30,90,5000,6415,1650
270,60,220,5000,6430,1650
110,20,90,5000,6435,1650
300,90,260,5000,6440,1650
240,50,180,5000,6445,1650
230,70,160,5000,6395,1645
60,20,40,5000,6400,1645
160,50,110,5000,6405,1645
280,80,200,5000,6410,1645
90,20,70,5000,6415,1645
190,30,160,5000,6430,1645
300,70,260,5000,6435,1645
140,20,110,5000,6450,1645
180,10,170,5000,6455,1645
120,10,110,5000,6460,1645
NA,NA,NA,5000,6465,1645
NA,NA,NA,5000,6380,1640
60,20,40,5000,6390,1640
250,70,180,5000,6395,1640
50,20,30,5000,6400,1640
50,20,30,5000,6405,1640
30,10,20,5000,6410,1640
80,20,60,5000,6415,1640
NA,NA,NA,5000,6430,1640
300,70,250,5000,6435,1640
50,10,40,5000,6450,1640
200,20,170,5000,6455,1640
300,50,270,5000,6460,1640
60,10,50,5000,6465,1640
70,20,40,5000,6380,1635
30,10,20,5000,6385,1635
